country,date,confirmed,deaths,recovered
Brazil,1/22/20,0,0,0
Brazil,1/23/20,0,0,0
Brazil,1/24/20,0,0,0
Brazil,1/25/20,0,0,0
Brazil,1/26/20,0,0,0
Brazil,1/27/20,0,0,0
Brazil,1/28/20,0,0,0
Brazil,1/29/20,0,0,0
Brazil,1/30/20,0,0,0
Brazil,1/31/20,0,0,0
Brazil,2/1/20,0,0,0
Brazil,2/2/20,0,0,0
Brazil,2/3/20,0,0,0
Brazil,2/4/20,0,0,0
Brazil,2/5/20,0,0,0
Brazil,2/6/20,0,0,0
Brazil,2/7/20,0,0,0
Brazil,2/8/20,0,0,0
Brazil,2/9/20,0,0,0
Brazil,2/10/20,0,0,0
Brazil,2/11/20,0,0,0
Brazil,2/12/20,0,0,0
Brazil,2/13/20,0,0,0
Brazil,2/14/20,0,0,0
Brazil,2/15/20,0,0,0
Brazil,2/16/20,0,0,0
Brazil,2/17/20,0,0,0
Brazil,2/18/20,0,0,0
Brazil,2/19/20,0,0,0
Brazil,2/20/20,0,0,0
Brazil,2/21/20,0,0,0
Brazil,2/22/20,0,0,0
Brazil,2/23/20,0,0,0
Brazil,2/24/20,0,0,0
Brazil,2/25/20,0,0,0
Brazil,2/26/20,1,0,0
Brazil,2/27/20,1,0,0
Brazil,2/28/20,1,0,0
Brazil,2/29/20,2,0,0
Brazil,3/1/20,2,0,0
Brazil,3/2/20,2,0,0
Brazil,3/3/20,2,0,0
Brazil,3/4/20,4,0,0
Brazil,3/5/20,4,0,0
Brazil,3/6/20,13,0,0
Brazil,3/7/20,13,0,0
Brazil,3/8/20,20,0,0
Brazil,3/9/20,25,0,0
Brazil,3/10/20,31,0,0
Brazil,3/11/20,38,0,0
Brazil,3/12/20,52,0,0
Brazil,3/13/20,151,0,0
Brazil,3/14/20,151,0,0
Brazil,3/15/20,162,0,0
Brazil,3/16/20,200,0,1
Brazil,3/17/20,321,1,2
Brazil,3/18/20,372,3,2
Brazil,3/19/20,621,6,2
Brazil,3/20/20,793,11,2
Brazil,3/21/20,1021,15,2
