country,date,confirmed,deaths,recovered
Bulgaria,1/22/20,0,0,0
Bulgaria,1/23/20,0,0,0
Bulgaria,1/24/20,0,0,0
Bulgaria,1/25/20,0,0,0
Bulgaria,1/26/20,0,0,0
Bulgaria,1/27/20,0,0,0
Bulgaria,1/28/20,0,0,0
Bulgaria,1/29/20,0,0,0
Bulgaria,1/30/20,0,0,0
Bulgaria,1/31/20,0,0,0
Bulgaria,2/1/20,0,0,0
Bulgaria,2/2/20,0,0,0
Bulgaria,2/3/20,0,0,0
Bulgaria,2/4/20,0,0,0
Bulgaria,2/5/20,0,0,0
Bulgaria,2/6/20,0,0,0
Bulgaria,2/7/20,0,0,0
Bulgaria,2/8/20,0,0,0
Bulgaria,2/9/20,0,0,0
Bulgaria,2/10/20,0,0,0
Bulgaria,2/11/20,0,0,0
Bulgaria,2/12/20,0,0,0
Bulgaria,2/13/20,0,0,0
Bulgaria,2/14/20,0,0,0
Bulgaria,2/15/20,0,0,0
Bulgaria,2/16/20,0,0,0
Bulgaria,2/17/20,0,0,0
Bulgaria,2/18/20,0,0,0
Bulgaria,2/19/20,0,0,0
Bulgaria,2/20/20,0,0,0
Bulgaria,2/21/20,0,0,0
Bulgaria,2/22/20,0,0,0
Bulgaria,2/23/20,0,0,0
Bulgaria,2/24/20,0,0,0
Bulgaria,2/25/20,0,0,0
Bulgaria,2/26/20,0,0,0
Bulgaria,2/27/20,0,0,0
Bulgaria,2/28/20,0,0,0
Bulgaria,2/29/20,0,0,0
Bulgaria,3/1/20,0,0,0
Bulgaria,3/2/20,0,0,0
Bulgaria,3/3/20,0,0,0
Bulgaria,3/4/20,0,0,0
Bulgaria,3/5/20,0,0,0
Bulgaria,3/6/20,0,0,0
Bulgaria,3/7/20,0,0,0
Bulgaria,3/8/20,4,0,0
Bulgaria,3/9/20,4,0,0
Bulgaria,3/10/20,4,0,0
Bulgaria,3/11/20,7,1,0
Bulgaria,3/12/20,7,1,0
Bulgaria,3/13/20,23,1,0
Bulgaria,3/14/20,41,2,0
Bulgaria,3/15/20,51,2,0
Bulgaria,3/16/20,52,2,0
Bulgaria,3/17/20,67,2,0
Bulgaria,3/18/20,92,2,0
Bulgaria,3/19/20,94,3,0
Bulgaria,3/20/20,127,3,0
Bulgaria,3/21/20,163,3,3
