country,date,confirmed,deaths,recovered
Burkina Faso,1/22/20,0,0,0
Burkina Faso,1/23/20,0,0,0
Burkina Faso,1/24/20,0,0,0
Burkina Faso,1/25/20,0,0,0
Burkina Faso,1/26/20,0,0,0
Burkina Faso,1/27/20,0,0,0
Burkina Faso,1/28/20,0,0,0
Burkina Faso,1/29/20,0,0,0
Burkina Faso,1/30/20,0,0,0
Burkina Faso,1/31/20,0,0,0
Burkina Faso,2/1/20,0,0,0
Burkina Faso,2/2/20,0,0,0
Burkina Faso,2/3/20,0,0,0
Burkina Faso,2/4/20,0,0,0
Burkina Faso,2/5/20,0,0,0
Burkina Faso,2/6/20,0,0,0
Burkina Faso,2/7/20,0,0,0
Burkina Faso,2/8/20,0,0,0
Burkina Faso,2/9/20,0,0,0
Burkina Faso,2/10/20,0,0,0
Burkina Faso,2/11/20,0,0,0
Burkina Faso,2/12/20,0,0,0
Burkina Faso,2/13/20,0,0,0
Burkina Faso,2/14/20,0,0,0
Burkina Faso,2/15/20,0,0,0
Burkina Faso,2/16/20,0,0,0
Burkina Faso,2/17/20,0,0,0
Burkina Faso,2/18/20,0,0,0
Burkina Faso,2/19/20,0,0,0
Burkina Faso,2/20/20,0,0,0
Burkina Faso,2/21/20,0,0,0
Burkina Faso,2/22/20,0,0,0
Burkina Faso,2/23/20,0,0,0
Burkina Faso,2/24/20,0,0,0
Burkina Faso,2/25/20,0,0,0
Burkina Faso,2/26/20,0,0,0
Burkina Faso,2/27/20,0,0,0
Burkina Faso,2/28/20,0,0,0
Burkina Faso,2/29/20,0,0,0
Burkina Faso,3/1/20,0,0,0
Burkina Faso,3/2/20,0,0,0
Burkina Faso,3/3/20,0,0,0
Burkina Faso,3/4/20,0,0,0
Burkina Faso,3/5/20,0,0,0
Burkina Faso,3/6/20,0,0,0
Burkina Faso,3/7/20,0,0,0
Burkina Faso,3/8/20,0,0,0
Burkina Faso,3/9/20,0,0,0
Burkina Faso,3/10/20,1,0,0
Burkina Faso,3/11/20,2,0,0
Burkina Faso,3/12/20,2,0,0
Burkina Faso,3/13/20,2,0,0
Burkina Faso,3/14/20,2,0,0
Burkina Faso,3/15/20,3,0,0
Burkina Faso,3/16/20,15,0,0
Burkina Faso,3/17/20,15,0,0
Burkina Faso,3/18/20,20,1,0
Burkina Faso,3/19/20,33,1,0
Burkina Faso,3/20/20,40,1,0
Burkina Faso,3/21/20,64,2,5
