country,date,confirmed,deaths,recovered
Colombia,1/22/20,0,0,0
Colombia,1/23/20,0,0,0
Colombia,1/24/20,0,0,0
Colombia,1/25/20,0,0,0
Colombia,1/26/20,0,0,0
Colombia,1/27/20,0,0,0
Colombia,1/28/20,0,0,0
Colombia,1/29/20,0,0,0
Colombia,1/30/20,0,0,0
Colombia,1/31/20,0,0,0
Colombia,2/1/20,0,0,0
Colombia,2/2/20,0,0,0
Colombia,2/3/20,0,0,0
Colombia,2/4/20,0,0,0
Colombia,2/5/20,0,0,0
Colombia,2/6/20,0,0,0
Colombia,2/7/20,0,0,0
Colombia,2/8/20,0,0,0
Colombia,2/9/20,0,0,0
Colombia,2/10/20,0,0,0
Colombia,2/11/20,0,0,0
Colombia,2/12/20,0,0,0
Colombia,2/13/20,0,0,0
Colombia,2/14/20,0,0,0
Colombia,2/15/20,0,0,0
Colombia,2/16/20,0,0,0
Colombia,2/17/20,0,0,0
Colombia,2/18/20,0,0,0
Colombia,2/19/20,0,0,0
Colombia,2/20/20,0,0,0
Colombia,2/21/20,0,0,0
Colombia,2/22/20,0,0,0
Colombia,2/23/20,0,0,0
Colombia,2/24/20,0,0,0
Colombia,2/25/20,0,0,0
Colombia,2/26/20,0,0,0
Colombia,2/27/20,0,0,0
Colombia,2/28/20,0,0,0
Colombia,2/29/20,0,0,0
Colombia,3/1/20,0,0,0
Colombia,3/2/20,0,0,0
Colombia,3/3/20,0,0,0
Colombia,3/4/20,0,0,0
Colombia,3/5/20,0,0,0
Colombia,3/6/20,1,0,0
Colombia,3/7/20,1,0,0
Colombia,3/8/20,1,0,0
Colombia,3/9/20,1,0,0
Colombia,3/10/20,3,0,0
Colombia,3/11/20,9,0,0
Colombia,3/12/20,9,0,0
Colombia,3/13/20,13,0,0
Colombia,3/14/20,22,0,0
Colombia,3/15/20,34,0,0
Colombia,3/16/20,54,0,0
Colombia,3/17/20,65,0,1
Colombia,3/18/20,93,0,1
Colombia,3/19/20,102,0,1
Colombia,3/20/20,128,0,1
Colombia,3/21/20,196,0,1
