country,date,confirmed,deaths,recovered
Denmark,1/22/20,0,0,0
Denmark,1/23/20,0,0,0
Denmark,1/24/20,0,0,0
Denmark,1/25/20,0,0,0
Denmark,1/26/20,0,0,0
Denmark,1/27/20,0,0,0
Denmark,1/28/20,0,0,0
Denmark,1/29/20,0,0,0
Denmark,1/30/20,0,0,0
Denmark,1/31/20,0,0,0
Denmark,2/1/20,0,0,0
Denmark,2/2/20,0,0,0
Denmark,2/3/20,0,0,0
Denmark,2/4/20,0,0,0
Denmark,2/5/20,0,0,0
Denmark,2/6/20,0,0,0
Denmark,2/7/20,0,0,0
Denmark,2/8/20,0,0,0
Denmark,2/9/20,0,0,0
Denmark,2/10/20,0,0,0
Denmark,2/11/20,0,0,0
Denmark,2/12/20,0,0,0
Denmark,2/13/20,0,0,0
Denmark,2/14/20,0,0,0
Denmark,2/15/20,0,0,0
Denmark,2/16/20,0,0,0
Denmark,2/17/20,0,0,0
Denmark,2/18/20,0,0,0
Denmark,2/19/20,0,0,0
Denmark,2/20/20,0,0,0
Denmark,2/21/20,0,0,0
Denmark,2/22/20,0,0,0
Denmark,2/23/20,0,0,0
Denmark,2/24/20,0,0,0
Denmark,2/25/20,0,0,0
Denmark,2/26/20,0,0,0
Denmark,2/27/20,1,0,0
Denmark,2/28/20,1,0,0
Denmark,2/29/20,3,0,0
Denmark,3/1/20,4,0,0
Denmark,3/2/20,4,0,0
Denmark,3/3/20,6,0,0
Denmark,3/4/20,11,0,0
Denmark,3/5/20,11,0,0
Denmark,3/6/20,24,0,1
Denmark,3/7/20,24,0,1
Denmark,3/8/20,37,0,1
Denmark,3/9/20,92,0,1
Denmark,3/10/20,264,0,1
Denmark,3/11/20,444,0,1
Denmark,3/12/20,617,0,1
Denmark,3/13/20,804,0,1
Denmark,3/14/20,836,1,1
Denmark,3/15/20,875,2,1
Denmark,3/16/20,933,3,1
Denmark,3/17/20,1025,4,1
Denmark,3/18/20,1116,4,1
Denmark,3/19/20,1225,6,1
Denmark,3/20/20,1337,9,1
Denmark,3/21/20,1420,13,1
