country,date,confirmed,deaths,recovered
Dominican Republic,1/22/20,0,0,0
Dominican Republic,1/23/20,0,0,0
Dominican Republic,1/24/20,0,0,0
Dominican Republic,1/25/20,0,0,0
Dominican Republic,1/26/20,0,0,0
Dominican Republic,1/27/20,0,0,0
Dominican Republic,1/28/20,0,0,0
Dominican Republic,1/29/20,0,0,0
Dominican Republic,1/30/20,0,0,0
Dominican Republic,1/31/20,0,0,0
Dominican Republic,2/1/20,0,0,0
Dominican Republic,2/2/20,0,0,0
Dominican Republic,2/3/20,0,0,0
Dominican Republic,2/4/20,0,0,0
Dominican Republic,2/5/20,0,0,0
Dominican Republic,2/6/20,0,0,0
Dominican Republic,2/7/20,0,0,0
Dominican Republic,2/8/20,0,0,0
Dominican Republic,2/9/20,0,0,0
Dominican Republic,2/10/20,0,0,0
Dominican Republic,2/11/20,0,0,0
Dominican Republic,2/12/20,0,0,0
Dominican Republic,2/13/20,0,0,0
Dominican Republic,2/14/20,0,0,0
Dominican Republic,2/15/20,0,0,0
Dominican Republic,2/16/20,0,0,0
Dominican Republic,2/17/20,0,0,0
Dominican Republic,2/18/20,0,0,0
Dominican Republic,2/19/20,0,0,0
Dominican Republic,2/20/20,0,0,0
Dominican Republic,2/21/20,0,0,0
Dominican Republic,2/22/20,0,0,0
Dominican Republic,2/23/20,0,0,0
Dominican Republic,2/24/20,0,0,0
Dominican Republic,2/25/20,0,0,0
Dominican Republic,2/26/20,0,0,0
Dominican Republic,2/27/20,0,0,0
Dominican Republic,2/28/20,0,0,0
Dominican Republic,2/29/20,0,0,0
Dominican Republic,3/1/20,1,0,0
Dominican Republic,3/2/20,1,0,0
Dominican Republic,3/3/20,1,0,0
Dominican Republic,3/4/20,1,0,0
Dominican Republic,3/5/20,1,0,0
Dominican Republic,3/6/20,2,0,0
Dominican Republic,3/7/20,2,0,0
Dominican Republic,3/8/20,5,0,0
Dominican Republic,3/9/20,5,0,0
Dominican Republic,3/10/20,5,0,0
Dominican Republic,3/11/20,5,0,0
Dominican Republic,3/12/20,5,0,0
Dominican Republic,3/13/20,5,0,0
Dominican Republic,3/14/20,11,0,0
Dominican Republic,3/15/20,11,0,0
Dominican Republic,3/16/20,11,0,0
Dominican Republic,3/17/20,21,1,0
Dominican Republic,3/18/20,21,1,0
Dominican Republic,3/19/20,34,2,0
Dominican Republic,3/20/20,72,2,0
Dominican Republic,3/21/20,112,2,0
