country,date,confirmed,deaths,recovered
Indonesia,1/22/20,0,0,0
Indonesia,1/23/20,0,0,0
Indonesia,1/24/20,0,0,0
Indonesia,1/25/20,0,0,0
Indonesia,1/26/20,0,0,0
Indonesia,1/27/20,0,0,0
Indonesia,1/28/20,0,0,0
Indonesia,1/29/20,0,0,0
Indonesia,1/30/20,0,0,0
Indonesia,1/31/20,0,0,0
Indonesia,2/1/20,0,0,0
Indonesia,2/2/20,0,0,0
Indonesia,2/3/20,0,0,0
Indonesia,2/4/20,0,0,0
Indonesia,2/5/20,0,0,0
Indonesia,2/6/20,0,0,0
Indonesia,2/7/20,0,0,0
Indonesia,2/8/20,0,0,0
Indonesia,2/9/20,0,0,0
Indonesia,2/10/20,0,0,0
Indonesia,2/11/20,0,0,0
Indonesia,2/12/20,0,0,0
Indonesia,2/13/20,0,0,0
Indonesia,2/14/20,0,0,0
Indonesia,2/15/20,0,0,0
Indonesia,2/16/20,0,0,0
Indonesia,2/17/20,0,0,0
Indonesia,2/18/20,0,0,0
Indonesia,2/19/20,0,0,0
Indonesia,2/20/20,0,0,0
Indonesia,2/21/20,0,0,0
Indonesia,2/22/20,0,0,0
Indonesia,2/23/20,0,0,0
Indonesia,2/24/20,0,0,0
Indonesia,2/25/20,0,0,0
Indonesia,2/26/20,0,0,0
Indonesia,2/27/20,0,0,0
Indonesia,2/28/20,0,0,0
Indonesia,2/29/20,0,0,0
Indonesia,3/1/20,0,0,0
Indonesia,3/2/20,2,0,0
Indonesia,3/3/20,2,0,0
Indonesia,3/4/20,2,0,0
Indonesia,3/5/20,2,0,0
Indonesia,3/6/20,4,0,0
Indonesia,3/7/20,4,0,0
Indonesia,3/8/20,6,0,0
Indonesia,3/9/20,19,0,0
Indonesia,3/10/20,27,0,2
Indonesia,3/11/20,34,1,2
Indonesia,3/12/20,34,1,2
Indonesia,3/13/20,69,4,2
Indonesia,3/14/20,96,5,8
Indonesia,3/15/20,117,5,8
Indonesia,3/16/20,134,5,8
Indonesia,3/17/20,172,5,8
Indonesia,3/18/20,227,19,11
Indonesia,3/19/20,311,25,11
Indonesia,3/20/20,369,32,15
Indonesia,3/21/20,450,38,15
