country,date,confirmed,deaths,recovered
Israel,1/22/20,0,0,0
Israel,1/23/20,0,0,0
Israel,1/24/20,0,0,0
Israel,1/25/20,0,0,0
Israel,1/26/20,0,0,0
Israel,1/27/20,0,0,0
Israel,1/28/20,0,0,0
Israel,1/29/20,0,0,0
Israel,1/30/20,0,0,0
Israel,1/31/20,0,0,0
Israel,2/1/20,0,0,0
Israel,2/2/20,0,0,0
Israel,2/3/20,0,0,0
Israel,2/4/20,0,0,0
Israel,2/5/20,0,0,0
Israel,2/6/20,0,0,0
Israel,2/7/20,0,0,0
Israel,2/8/20,0,0,0
Israel,2/9/20,0,0,0
Israel,2/10/20,0,0,0
Israel,2/11/20,0,0,0
Israel,2/12/20,0,0,0
Israel,2/13/20,0,0,0
Israel,2/14/20,0,0,0
Israel,2/15/20,0,0,0
Israel,2/16/20,0,0,0
Israel,2/17/20,0,0,0
Israel,2/18/20,0,0,0
Israel,2/19/20,0,0,0
Israel,2/20/20,0,0,0
Israel,2/21/20,1,0,0
Israel,2/22/20,1,0,0
Israel,2/23/20,1,0,0
Israel,2/24/20,1,0,0
Israel,2/25/20,1,0,0
Israel,2/26/20,2,0,0
Israel,2/27/20,3,0,1
Israel,2/28/20,4,0,1
Israel,2/29/20,7,0,1
Israel,3/1/20,10,0,1
Israel,3/2/20,10,0,1
Israel,3/3/20,12,0,1
Israel,3/4/20,15,0,1
Israel,3/5/20,20,0,1
Israel,3/6/20,37,0,2
Israel,3/7/20,43,0,2
Israel,3/8/20,61,0,2
Israel,3/9/20,61,0,2
Israel,3/10/20,83,0,4
Israel,3/11/20,109,0,4
Israel,3/12/20,131,0,4
Israel,3/13/20,161,0,4
Israel,3/14/20,193,0,4
Israel,3/15/20,251,0,4
Israel,3/16/20,255,0,4
Israel,3/17/20,337,0,11
Israel,3/18/20,433,0,11
Israel,3/19/20,677,0,11
Israel,3/20/20,705,0,14
Israel,3/21/20,883,1,36
