country,date,confirmed,deaths,recovered
Italy,1/22/20,0,0,0
Italy,1/23/20,0,0,0
Italy,1/24/20,0,0,0
Italy,1/25/20,0,0,0
Italy,1/26/20,0,0,0
Italy,1/27/20,0,0,0
Italy,1/28/20,0,0,0
Italy,1/29/20,0,0,0
Italy,1/30/20,0,0,0
Italy,1/31/20,2,0,0
Italy,2/1/20,2,0,0
Italy,2/2/20,2,0,0
Italy,2/3/20,2,0,0
Italy,2/4/20,2,0,0
Italy,2/5/20,2,0,0
Italy,2/6/20,2,0,0
Italy,2/7/20,3,0,0
Italy,2/8/20,3,0,0
Italy,2/9/20,3,0,0
Italy,2/10/20,3,0,0
Italy,2/11/20,3,0,0
Italy,2/12/20,3,0,0
Italy,2/13/20,3,0,0
Italy,2/14/20,3,0,0
Italy,2/15/20,3,0,0
Italy,2/16/20,3,0,0
Italy,2/17/20,3,0,0
Italy,2/18/20,3,0,0
Italy,2/19/20,3,0,0
Italy,2/20/20,3,0,0
Italy,2/21/20,20,1,0
Italy,2/22/20,62,2,1
Italy,2/23/20,155,3,2
Italy,2/24/20,229,7,1
Italy,2/25/20,322,10,1
Italy,2/26/20,453,12,3
Italy,2/27/20,655,17,45
Italy,2/28/20,888,21,46
Italy,2/29/20,1128,29,46
Italy,3/1/20,1694,34,83
Italy,3/2/20,2036,52,149
Italy,3/3/20,2502,79,160
Italy,3/4/20,3089,107,276
Italy,3/5/20,3858,148,414
Italy,3/6/20,4636,197,523
Italy,3/7/20,5883,233,589
Italy,3/8/20,7375,366,622
Italy,3/9/20,9172,463,724
Italy,3/10/20,10149,631,724
Italy,3/11/20,12462,827,1045
Italy,3/12/20,12462,827,1045
Italy,3/13/20,17660,1266,1439
Italy,3/14/20,21157,1441,1966
Italy,3/15/20,24747,1809,2335
Italy,3/16/20,27980,2158,2749
Italy,3/17/20,31506,2503,2941
Italy,3/18/20,35713,2978,4025
Italy,3/19/20,41035,3405,4440
Italy,3/20/20,47021,4032,4440
Italy,3/21/20,53578,4825,6072
