country,date,confirmed,deaths,recovered
Kazakhstan,1/22/20,0,0,0
Kazakhstan,1/23/20,0,0,0
Kazakhstan,1/24/20,0,0,0
Kazakhstan,1/25/20,0,0,0
Kazakhstan,1/26/20,0,0,0
Kazakhstan,1/27/20,0,0,0
Kazakhstan,1/28/20,0,0,0
Kazakhstan,1/29/20,0,0,0
Kazakhstan,1/30/20,0,0,0
Kazakhstan,1/31/20,0,0,0
Kazakhstan,2/1/20,0,0,0
Kazakhstan,2/2/20,0,0,0
Kazakhstan,2/3/20,0,0,0
Kazakhstan,2/4/20,0,0,0
Kazakhstan,2/5/20,0,0,0
Kazakhstan,2/6/20,0,0,0
Kazakhstan,2/7/20,0,0,0
Kazakhstan,2/8/20,0,0,0
Kazakhstan,2/9/20,0,0,0
Kazakhstan,2/10/20,0,0,0
Kazakhstan,2/11/20,0,0,0
Kazakhstan,2/12/20,0,0,0
Kazakhstan,2/13/20,0,0,0
Kazakhstan,2/14/20,0,0,0
Kazakhstan,2/15/20,0,0,0
Kazakhstan,2/16/20,0,0,0
Kazakhstan,2/17/20,0,0,0
Kazakhstan,2/18/20,0,0,0
Kazakhstan,2/19/20,0,0,0
Kazakhstan,2/20/20,0,0,0
Kazakhstan,2/21/20,0,0,0
Kazakhstan,2/22/20,0,0,0
Kazakhstan,2/23/20,0,0,0
Kazakhstan,2/24/20,0,0,0
Kazakhstan,2/25/20,0,0,0
Kazakhstan,2/26/20,0,0,0
Kazakhstan,2/27/20,0,0,0
Kazakhstan,2/28/20,0,0,0
Kazakhstan,2/29/20,0,0,0
Kazakhstan,3/1/20,0,0,0
Kazakhstan,3/2/20,0,0,0
Kazakhstan,3/3/20,0,0,0
Kazakhstan,3/4/20,0,0,0
Kazakhstan,3/5/20,0,0,0
Kazakhstan,3/6/20,0,0,0
Kazakhstan,3/7/20,0,0,0
Kazakhstan,3/8/20,0,0,0
Kazakhstan,3/9/20,0,0,0
Kazakhstan,3/10/20,0,0,0
Kazakhstan,3/11/20,0,0,0
Kazakhstan,3/12/20,0,0,0
Kazakhstan,3/13/20,4,0,0
Kazakhstan,3/14/20,6,0,0
Kazakhstan,3/15/20,9,0,0
Kazakhstan,3/16/20,10,0,0
Kazakhstan,3/17/20,33,0,0
Kazakhstan,3/18/20,35,0,0
Kazakhstan,3/19/20,44,0,0
Kazakhstan,3/20/20,49,3,0
Kazakhstan,3/21/20,53,0,0
