country,date,confirmed,deaths,recovered
Nigeria,1/22/20,0,0,0
Nigeria,1/23/20,0,0,0
Nigeria,1/24/20,0,0,0
Nigeria,1/25/20,0,0,0
Nigeria,1/26/20,0,0,0
Nigeria,1/27/20,0,0,0
Nigeria,1/28/20,0,0,0
Nigeria,1/29/20,0,0,0
Nigeria,1/30/20,0,0,0
Nigeria,1/31/20,0,0,0
Nigeria,2/1/20,0,0,0
Nigeria,2/2/20,0,0,0
Nigeria,2/3/20,0,0,0
Nigeria,2/4/20,0,0,0
Nigeria,2/5/20,0,0,0
Nigeria,2/6/20,0,0,0
Nigeria,2/7/20,0,0,0
Nigeria,2/8/20,0,0,0
Nigeria,2/9/20,0,0,0
Nigeria,2/10/20,0,0,0
Nigeria,2/11/20,0,0,0
Nigeria,2/12/20,0,0,0
Nigeria,2/13/20,0,0,0
Nigeria,2/14/20,0,0,0
Nigeria,2/15/20,0,0,0
Nigeria,2/16/20,0,0,0
Nigeria,2/17/20,0,0,0
Nigeria,2/18/20,0,0,0
Nigeria,2/19/20,0,0,0
Nigeria,2/20/20,0,0,0
Nigeria,2/21/20,0,0,0
Nigeria,2/22/20,0,0,0
Nigeria,2/23/20,0,0,0
Nigeria,2/24/20,0,0,0
Nigeria,2/25/20,0,0,0
Nigeria,2/26/20,0,0,0
Nigeria,2/27/20,0,0,0
Nigeria,2/28/20,1,0,0
Nigeria,2/29/20,1,0,0
Nigeria,3/1/20,1,0,0
Nigeria,3/2/20,1,0,0
Nigeria,3/3/20,1,0,0
Nigeria,3/4/20,1,0,0
Nigeria,3/5/20,1,0,0
Nigeria,3/6/20,1,0,0
Nigeria,3/7/20,1,0,0
Nigeria,3/8/20,1,0,0
Nigeria,3/9/20,2,0,0
Nigeria,3/10/20,2,0,0
Nigeria,3/11/20,2,0,0
Nigeria,3/12/20,2,0,0
Nigeria,3/13/20,2,0,0
Nigeria,3/14/20,2,0,0
Nigeria,3/15/20,2,0,0
Nigeria,3/16/20,2,0,0
Nigeria,3/17/20,3,0,0
Nigeria,3/18/20,8,0,1
Nigeria,3/19/20,8,0,1
Nigeria,3/20/20,12,0,1
Nigeria,3/21/20,22,0,1
