country,date,confirmed,deaths,recovered
Panama,1/22/20,0,0,0
Panama,1/23/20,0,0,0
Panama,1/24/20,0,0,0
Panama,1/25/20,0,0,0
Panama,1/26/20,0,0,0
Panama,1/27/20,0,0,0
Panama,1/28/20,0,0,0
Panama,1/29/20,0,0,0
Panama,1/30/20,0,0,0
Panama,1/31/20,0,0,0
Panama,2/1/20,0,0,0
Panama,2/2/20,0,0,0
Panama,2/3/20,0,0,0
Panama,2/4/20,0,0,0
Panama,2/5/20,0,0,0
Panama,2/6/20,0,0,0
Panama,2/7/20,0,0,0
Panama,2/8/20,0,0,0
Panama,2/9/20,0,0,0
Panama,2/10/20,0,0,0
Panama,2/11/20,0,0,0
Panama,2/12/20,0,0,0
Panama,2/13/20,0,0,0
Panama,2/14/20,0,0,0
Panama,2/15/20,0,0,0
Panama,2/16/20,0,0,0
Panama,2/17/20,0,0,0
Panama,2/18/20,0,0,0
Panama,2/19/20,0,0,0
Panama,2/20/20,0,0,0
Panama,2/21/20,0,0,0
Panama,2/22/20,0,0,0
Panama,2/23/20,0,0,0
Panama,2/24/20,0,0,0
Panama,2/25/20,0,0,0
Panama,2/26/20,0,0,0
Panama,2/27/20,0,0,0
Panama,2/28/20,0,0,0
Panama,2/29/20,0,0,0
Panama,3/1/20,0,0,0
Panama,3/2/20,0,0,0
Panama,3/3/20,0,0,0
Panama,3/4/20,0,0,0
Panama,3/5/20,0,0,0
Panama,3/6/20,0,0,0
Panama,3/7/20,0,0,0
Panama,3/8/20,0,0,0
Panama,3/9/20,0,0,0
Panama,3/10/20,1,0,0
Panama,3/11/20,8,1,0
Panama,3/12/20,11,1,0
Panama,3/13/20,27,1,0
Panama,3/14/20,36,1,0
Panama,3/15/20,43,1,0
Panama,3/16/20,55,1,0
Panama,3/17/20,69,1,0
Panama,3/18/20,86,1,0
Panama,3/19/20,109,1,0
Panama,3/20/20,137,1,0
Panama,3/21/20,200,1,0
