country,date,confirmed,deaths,recovered
Qatar,1/22/20,0,0,0
Qatar,1/23/20,0,0,0
Qatar,1/24/20,0,0,0
Qatar,1/25/20,0,0,0
Qatar,1/26/20,0,0,0
Qatar,1/27/20,0,0,0
Qatar,1/28/20,0,0,0
Qatar,1/29/20,0,0,0
Qatar,1/30/20,0,0,0
Qatar,1/31/20,0,0,0
Qatar,2/1/20,0,0,0
Qatar,2/2/20,0,0,0
Qatar,2/3/20,0,0,0
Qatar,2/4/20,0,0,0
Qatar,2/5/20,0,0,0
Qatar,2/6/20,0,0,0
Qatar,2/7/20,0,0,0
Qatar,2/8/20,0,0,0
Qatar,2/9/20,0,0,0
Qatar,2/10/20,0,0,0
Qatar,2/11/20,0,0,0
Qatar,2/12/20,0,0,0
Qatar,2/13/20,0,0,0
Qatar,2/14/20,0,0,0
Qatar,2/15/20,0,0,0
Qatar,2/16/20,0,0,0
Qatar,2/17/20,0,0,0
Qatar,2/18/20,0,0,0
Qatar,2/19/20,0,0,0
Qatar,2/20/20,0,0,0
Qatar,2/21/20,0,0,0
Qatar,2/22/20,0,0,0
Qatar,2/23/20,0,0,0
Qatar,2/24/20,0,0,0
Qatar,2/25/20,0,0,0
Qatar,2/26/20,0,0,0
Qatar,2/27/20,0,0,0
Qatar,2/28/20,0,0,0
Qatar,2/29/20,1,0,0
Qatar,3/1/20,3,0,0
Qatar,3/2/20,3,0,0
Qatar,3/3/20,7,0,0
Qatar,3/4/20,8,0,0
Qatar,3/5/20,8,0,0
Qatar,3/6/20,8,0,0
Qatar,3/7/20,8,0,0
Qatar,3/8/20,15,0,0
Qatar,3/9/20,18,0,0
Qatar,3/10/20,24,0,0
Qatar,3/11/20,262,0,0
Qatar,3/12/20,262,0,0
Qatar,3/13/20,320,0,0
Qatar,3/14/20,337,0,4
Qatar,3/15/20,401,0,4
Qatar,3/16/20,439,0,4
Qatar,3/17/20,439,0,4
Qatar,3/18/20,452,0,4
Qatar,3/19/20,460,0,4
Qatar,3/20/20,470,0,10
Qatar,3/21/20,481,0,27
