country,date,confirmed,deaths,recovered
Slovakia,1/22/20,0,0,0
Slovakia,1/23/20,0,0,0
Slovakia,1/24/20,0,0,0
Slovakia,1/25/20,0,0,0
Slovakia,1/26/20,0,0,0
Slovakia,1/27/20,0,0,0
Slovakia,1/28/20,0,0,0
Slovakia,1/29/20,0,0,0
Slovakia,1/30/20,0,0,0
Slovakia,1/31/20,0,0,0
Slovakia,2/1/20,0,0,0
Slovakia,2/2/20,0,0,0
Slovakia,2/3/20,0,0,0
Slovakia,2/4/20,0,0,0
Slovakia,2/5/20,0,0,0
Slovakia,2/6/20,0,0,0
Slovakia,2/7/20,0,0,0
Slovakia,2/8/20,0,0,0
Slovakia,2/9/20,0,0,0
Slovakia,2/10/20,0,0,0
Slovakia,2/11/20,0,0,0
Slovakia,2/12/20,0,0,0
Slovakia,2/13/20,0,0,0
Slovakia,2/14/20,0,0,0
Slovakia,2/15/20,0,0,0
Slovakia,2/16/20,0,0,0
Slovakia,2/17/20,0,0,0
Slovakia,2/18/20,0,0,0
Slovakia,2/19/20,0,0,0
Slovakia,2/20/20,0,0,0
Slovakia,2/21/20,0,0,0
Slovakia,2/22/20,0,0,0
Slovakia,2/23/20,0,0,0
Slovakia,2/24/20,0,0,0
Slovakia,2/25/20,0,0,0
Slovakia,2/26/20,0,0,0
Slovakia,2/27/20,0,0,0
Slovakia,2/28/20,0,0,0
Slovakia,2/29/20,0,0,0
Slovakia,3/1/20,0,0,0
Slovakia,3/2/20,0,0,0
Slovakia,3/3/20,0,0,0
Slovakia,3/4/20,0,0,0
Slovakia,3/5/20,0,0,0
Slovakia,3/6/20,1,0,0
Slovakia,3/7/20,1,0,0
Slovakia,3/8/20,3,0,0
Slovakia,3/9/20,3,0,0
Slovakia,3/10/20,7,0,0
Slovakia,3/11/20,10,0,0
Slovakia,3/12/20,16,0,0
Slovakia,3/13/20,32,0,0
Slovakia,3/14/20,44,0,0
Slovakia,3/15/20,54,0,0
Slovakia,3/16/20,63,0,0
Slovakia,3/17/20,72,0,0
Slovakia,3/18/20,105,1,0
Slovakia,3/19/20,123,1,0
Slovakia,3/20/20,137,1,0
Slovakia,3/21/20,178,1,0
