country,date,confirmed,deaths,recovered
South Africa,1/22/20,0,0,0
South Africa,1/23/20,0,0,0
South Africa,1/24/20,0,0,0
South Africa,1/25/20,0,0,0
South Africa,1/26/20,0,0,0
South Africa,1/27/20,0,0,0
South Africa,1/28/20,0,0,0
South Africa,1/29/20,0,0,0
South Africa,1/30/20,0,0,0
South Africa,1/31/20,0,0,0
South Africa,2/1/20,0,0,0
South Africa,2/2/20,0,0,0
South Africa,2/3/20,0,0,0
South Africa,2/4/20,0,0,0
South Africa,2/5/20,0,0,0
South Africa,2/6/20,0,0,0
South Africa,2/7/20,0,0,0
South Africa,2/8/20,0,0,0
South Africa,2/9/20,0,0,0
South Africa,2/10/20,0,0,0
South Africa,2/11/20,0,0,0
South Africa,2/12/20,0,0,0
South Africa,2/13/20,0,0,0
South Africa,2/14/20,0,0,0
South Africa,2/15/20,0,0,0
South Africa,2/16/20,0,0,0
South Africa,2/17/20,0,0,0
South Africa,2/18/20,0,0,0
South Africa,2/19/20,0,0,0
South Africa,2/20/20,0,0,0
South Africa,2/21/20,0,0,0
South Africa,2/22/20,0,0,0
South Africa,2/23/20,0,0,0
South Africa,2/24/20,0,0,0
South Africa,2/25/20,0,0,0
South Africa,2/26/20,0,0,0
South Africa,2/27/20,0,0,0
South Africa,2/28/20,0,0,0
South Africa,2/29/20,0,0,0
South Africa,3/1/20,0,0,0
South Africa,3/2/20,0,0,0
South Africa,3/3/20,0,0,0
South Africa,3/4/20,0,0,0
South Africa,3/5/20,1,0,0
South Africa,3/6/20,1,0,0
South Africa,3/7/20,1,0,0
South Africa,3/8/20,3,0,0
South Africa,3/9/20,3,0,0
South Africa,3/10/20,7,0,0
South Africa,3/11/20,13,0,0
South Africa,3/12/20,17,0,0
South Africa,3/13/20,24,0,0
South Africa,3/14/20,38,0,0
South Africa,3/15/20,51,0,0
South Africa,3/16/20,62,0,0
South Africa,3/17/20,62,0,0
South Africa,3/18/20,116,0,0
South Africa,3/19/20,150,0,0
South Africa,3/20/20,202,0,0
South Africa,3/21/20,240,0,0
