country,date,confirmed,deaths,recovered
Thailand,1/22/20,2,0,0
Thailand,1/23/20,3,0,0
Thailand,1/24/20,5,0,0
Thailand,1/25/20,7,0,0
Thailand,1/26/20,8,0,2
Thailand,1/27/20,8,0,2
Thailand,1/28/20,14,0,5
Thailand,1/29/20,14,0,5
Thailand,1/30/20,14,0,5
Thailand,1/31/20,19,0,5
Thailand,2/1/20,19,0,5
Thailand,2/2/20,19,0,5
Thailand,2/3/20,19,0,5
Thailand,2/4/20,25,0,5
Thailand,2/5/20,25,0,5
Thailand,2/6/20,25,0,5
Thailand,2/7/20,25,0,5
Thailand,2/8/20,32,0,10
Thailand,2/9/20,32,0,10
Thailand,2/10/20,32,0,10
Thailand,2/11/20,33,0,10
Thailand,2/12/20,33,0,10
Thailand,2/13/20,33,0,12
Thailand,2/14/20,33,0,12
Thailand,2/15/20,33,0,12
Thailand,2/16/20,34,0,14
Thailand,2/17/20,35,0,15
Thailand,2/18/20,35,0,15
Thailand,2/19/20,35,0,15
Thailand,2/20/20,35,0,15
Thailand,2/21/20,35,0,17
Thailand,2/22/20,35,0,17
Thailand,2/23/20,35,0,21
Thailand,2/24/20,35,0,21
Thailand,2/25/20,37,0,22
Thailand,2/26/20,40,0,22
Thailand,2/27/20,40,0,22
Thailand,2/28/20,41,0,28
Thailand,2/29/20,42,0,28
Thailand,3/1/20,42,1,28
Thailand,3/2/20,43,1,31
Thailand,3/3/20,43,1,31
Thailand,3/4/20,43,1,31
Thailand,3/5/20,47,1,31
Thailand,3/6/20,48,1,31
Thailand,3/7/20,50,1,31
Thailand,3/8/20,50,1,31
Thailand,3/9/20,50,1,31
Thailand,3/10/20,53,1,33
Thailand,3/11/20,59,1,34
Thailand,3/12/20,70,1,34
Thailand,3/13/20,75,1,35
Thailand,3/14/20,82,1,35
Thailand,3/15/20,114,1,35
Thailand,3/16/20,147,1,35
Thailand,3/17/20,177,1,41
Thailand,3/18/20,212,1,42
Thailand,3/19/20,272,1,42
Thailand,3/20/20,322,1,42
Thailand,3/21/20,411,1,42
