country,date,confirmed,deaths,recovered
United Kingdom,1/22/20,0,0,0
United Kingdom,1/23/20,0,0,0
United Kingdom,1/24/20,0,0,0
United Kingdom,1/25/20,0,0,0
United Kingdom,1/26/20,0,0,0
United Kingdom,1/27/20,0,0,0
United Kingdom,1/28/20,0,0,0
United Kingdom,1/29/20,0,0,0
United Kingdom,1/30/20,0,0,0
United Kingdom,1/31/20,2,0,0
United Kingdom,2/1/20,2,0,0
United Kingdom,2/2/20,2,0,0
United Kingdom,2/3/20,2,0,0
United Kingdom,2/4/20,2,0,0
United Kingdom,2/5/20,2,0,0
United Kingdom,2/6/20,2,0,0
United Kingdom,2/7/20,3,0,0
United Kingdom,2/8/20,3,0,0
United Kingdom,2/9/20,3,0,0
United Kingdom,2/10/20,8,0,0
United Kingdom,2/11/20,8,0,0
United Kingdom,2/12/20,9,0,1
United Kingdom,2/13/20,9,0,1
United Kingdom,2/14/20,9,0,1
United Kingdom,2/15/20,9,0,1
United Kingdom,2/16/20,9,0,8
United Kingdom,2/17/20,9,0,8
United Kingdom,2/18/20,9,0,8
United Kingdom,2/19/20,9,0,8
United Kingdom,2/20/20,9,0,8
United Kingdom,2/21/20,9,0,8
United Kingdom,2/22/20,9,0,8
United Kingdom,2/23/20,9,0,8
United Kingdom,2/24/20,13,0,8
United Kingdom,2/25/20,13,0,8
United Kingdom,2/26/20,13,0,8
United Kingdom,2/27/20,15,0,8
United Kingdom,2/28/20,20,0,8
United Kingdom,2/29/20,23,0,8
United Kingdom,3/1/20,36,0,8
United Kingdom,3/2/20,40,0,8
United Kingdom,3/3/20,51,0,8
United Kingdom,3/4/20,86,0,8
United Kingdom,3/5/20,116,1,8
United Kingdom,3/6/20,164,2,8
United Kingdom,3/7/20,207,2,18
United Kingdom,3/8/20,274,3,18
United Kingdom,3/9/20,322,4,18
United Kingdom,3/10/20,384,6,19
United Kingdom,3/11/20,459,8,19
United Kingdom,3/12/20,459,8,19
United Kingdom,3/13/20,802,8,19
United Kingdom,3/14/20,1144,21,19
United Kingdom,3/15/20,1145,21,19
United Kingdom,3/16/20,1551,56,21
United Kingdom,3/17/20,1960,56,53
United Kingdom,3/18/20,2642,72,67
United Kingdom,3/19/20,2716,138,67
United Kingdom,3/20/20,4014,178,67
United Kingdom,3/21/20,5067,234,67
