country,date,confirmed,deaths,recovered
Argentina,1/22/20,0,0,0
Argentina,1/23/20,0,0,0
Argentina,1/24/20,0,0,0
Argentina,1/25/20,0,0,0
Argentina,1/26/20,0,0,0
Argentina,1/27/20,0,0,0
Argentina,1/28/20,0,0,0
Argentina,1/29/20,0,0,0
Argentina,1/30/20,0,0,0
Argentina,1/31/20,0,0,0
Argentina,2/1/20,0,0,0
Argentina,2/2/20,0,0,0
Argentina,2/3/20,0,0,0
Argentina,2/4/20,0,0,0
Argentina,2/5/20,0,0,0
Argentina,2/6/20,0,0,0
Argentina,2/7/20,0,0,0
Argentina,2/8/20,0,0,0
Argentina,2/9/20,0,0,0
Argentina,2/10/20,0,0,0
Argentina,2/11/20,0,0,0
Argentina,2/12/20,0,0,0
Argentina,2/13/20,0,0,0
Argentina,2/14/20,0,0,0
Argentina,2/15/20,0,0,0
Argentina,2/16/20,0,0,0
Argentina,2/17/20,0,0,0
Argentina,2/18/20,0,0,0
Argentina,2/19/20,0,0,0
Argentina,2/20/20,0,0,0
Argentina,2/21/20,0,0,0
Argentina,2/22/20,0,0,0
Argentina,2/23/20,0,0,0
Argentina,2/24/20,0,0,0
Argentina,2/25/20,0,0,0
Argentina,2/26/20,0,0,0
Argentina,2/27/20,0,0,0
Argentina,2/28/20,0,0,0
Argentina,2/29/20,0,0,0
Argentina,3/1/20,0,0,0
Argentina,3/2/20,0,0,0
Argentina,3/3/20,1,0,0
Argentina,3/4/20,1,0,0
Argentina,3/5/20,1,0,0
Argentina,3/6/20,2,0,0
Argentina,3/7/20,8,0,0
Argentina,3/8/20,12,1,0
Argentina,3/9/20,12,1,0
Argentina,3/10/20,17,1,0
Argentina,3/11/20,19,1,0
Argentina,3/12/20,19,1,0
Argentina,3/13/20,31,2,0
Argentina,3/14/20,34,2,1
Argentina,3/15/20,45,2,1
Argentina,3/16/20,56,2,1
Argentina,3/17/20,68,2,3
Argentina,3/18/20,79,2,3
Argentina,3/19/20,97,3,3
Argentina,3/20/20,128,3,3
