country,date,confirmed,deaths,recovered
Austria,1/22/20,0,0,0
Austria,1/23/20,0,0,0
Austria,1/24/20,0,0,0
Austria,1/25/20,0,0,0
Austria,1/26/20,0,0,0
Austria,1/27/20,0,0,0
Austria,1/28/20,0,0,0
Austria,1/29/20,0,0,0
Austria,1/30/20,0,0,0
Austria,1/31/20,0,0,0
Austria,2/1/20,0,0,0
Austria,2/2/20,0,0,0
Austria,2/3/20,0,0,0
Austria,2/4/20,0,0,0
Austria,2/5/20,0,0,0
Austria,2/6/20,0,0,0
Austria,2/7/20,0,0,0
Austria,2/8/20,0,0,0
Austria,2/9/20,0,0,0
Austria,2/10/20,0,0,0
Austria,2/11/20,0,0,0
Austria,2/12/20,0,0,0
Austria,2/13/20,0,0,0
Austria,2/14/20,0,0,0
Austria,2/15/20,0,0,0
Austria,2/16/20,0,0,0
Austria,2/17/20,0,0,0
Austria,2/18/20,0,0,0
Austria,2/19/20,0,0,0
Austria,2/20/20,0,0,0
Austria,2/21/20,0,0,0
Austria,2/22/20,0,0,0
Austria,2/23/20,0,0,0
Austria,2/24/20,0,0,0
Austria,2/25/20,2,0,0
Austria,2/26/20,2,0,0
Austria,2/27/20,3,0,0
Austria,2/28/20,3,0,0
Austria,2/29/20,9,0,0
Austria,3/1/20,14,0,0
Austria,3/2/20,18,0,0
Austria,3/3/20,21,0,0
Austria,3/4/20,29,0,0
Austria,3/5/20,41,0,0
Austria,3/6/20,55,0,0
Austria,3/7/20,79,0,0
Austria,3/8/20,104,0,0
Austria,3/9/20,131,0,2
Austria,3/10/20,182,0,4
Austria,3/11/20,246,0,4
Austria,3/12/20,302,1,4
Austria,3/13/20,504,1,6
Austria,3/14/20,655,1,6
Austria,3/15/20,860,1,6
Austria,3/16/20,1018,3,6
Austria,3/17/20,1332,3,1
Austria,3/18/20,1646,4,9
Austria,3/19/20,2013,6,9
Austria,3/20/20,2388,6,9
