country,date,confirmed,deaths,recovered
Bahrain,1/22/20,0,0,0
Bahrain,1/23/20,0,0,0
Bahrain,1/24/20,0,0,0
Bahrain,1/25/20,0,0,0
Bahrain,1/26/20,0,0,0
Bahrain,1/27/20,0,0,0
Bahrain,1/28/20,0,0,0
Bahrain,1/29/20,0,0,0
Bahrain,1/30/20,0,0,0
Bahrain,1/31/20,0,0,0
Bahrain,2/1/20,0,0,0
Bahrain,2/2/20,0,0,0
Bahrain,2/3/20,0,0,0
Bahrain,2/4/20,0,0,0
Bahrain,2/5/20,0,0,0
Bahrain,2/6/20,0,0,0
Bahrain,2/7/20,0,0,0
Bahrain,2/8/20,0,0,0
Bahrain,2/9/20,0,0,0
Bahrain,2/10/20,0,0,0
Bahrain,2/11/20,0,0,0
Bahrain,2/12/20,0,0,0
Bahrain,2/13/20,0,0,0
Bahrain,2/14/20,0,0,0
Bahrain,2/15/20,0,0,0
Bahrain,2/16/20,0,0,0
Bahrain,2/17/20,0,0,0
Bahrain,2/18/20,0,0,0
Bahrain,2/19/20,0,0,0
Bahrain,2/20/20,0,0,0
Bahrain,2/21/20,0,0,0
Bahrain,2/22/20,0,0,0
Bahrain,2/23/20,0,0,0
Bahrain,2/24/20,1,0,0
Bahrain,2/25/20,23,0,0
Bahrain,2/26/20,33,0,0
Bahrain,2/27/20,33,0,0
Bahrain,2/28/20,36,0,0
Bahrain,2/29/20,41,0,0
Bahrain,3/1/20,47,0,0
Bahrain,3/2/20,49,0,0
Bahrain,3/3/20,49,0,0
Bahrain,3/4/20,52,0,0
Bahrain,3/5/20,55,0,0
Bahrain,3/6/20,60,0,4
Bahrain,3/7/20,85,0,4
Bahrain,3/8/20,85,0,4
Bahrain,3/9/20,95,0,14
Bahrain,3/10/20,110,0,22
Bahrain,3/11/20,195,0,35
Bahrain,3/12/20,195,0,35
Bahrain,3/13/20,189,0,44
Bahrain,3/14/20,210,0,44
Bahrain,3/15/20,214,0,60
Bahrain,3/16/20,214,1,77
Bahrain,3/17/20,228,1,81
Bahrain,3/18/20,256,1,88
Bahrain,3/19/20,278,1,100
Bahrain,3/20/20,285,1,100
