country,date,confirmed,deaths,recovered
China,1/22/20,548,17,28
China,1/23/20,643,18,30
China,1/24/20,920,26,36
China,1/25/20,1406,42,39
China,1/26/20,2075,56,49
China,1/27/20,2877,82,58
China,1/28/20,5509,131,101
China,1/29/20,6087,133,120
China,1/30/20,8141,171,135
China,1/31/20,9802,213,214
China,2/1/20,11891,259,275
China,2/2/20,16630,361,463
China,2/3/20,19716,425,614
China,2/4/20,23707,491,843
China,2/5/20,27440,563,1115
China,2/6/20,30587,633,1477
China,2/7/20,34110,718,1999
China,2/8/20,36814,805,2596
China,2/9/20,39829,905,3219
China,2/10/20,42354,1012,3918
China,2/11/20,44386,1112,4636
China,2/12/20,44759,1117,5082
China,2/13/20,59895,1369,6217
China,2/14/20,66358,1521,7977
China,2/15/20,68413,1663,9298
China,2/16/20,70513,1766,10755
China,2/17/20,72434,1864,12462
China,2/18/20,74211,2003,14206
China,2/19/20,74619,2116,15962
China,2/20/20,75077,2238,18014
China,2/21/20,75550,2238,18704
China,2/22/20,77001,2443,22699
China,2/23/20,77022,2445,23187
China,2/24/20,77241,2595,25015
China,2/25/20,77754,2665,27676
China,2/26/20,78166,2717,30084
China,2/27/20,78600,2746,32930
China,2/28/20,78928,2790,36329
China,2/29/20,79356,2837,39320
China,3/1/20,79932,2872,42162
China,3/2/20,80136,2914,44854
China,3/3/20,80261,2947,47450
China,3/4/20,80386,2983,50001
China,3/5/20,80537,3015,52292
China,3/6/20,80690,3044,53944
China,3/7/20,80770,3072,55539
China,3/8/20,80823,3100,57388
China,3/9/20,80860,3123,58804
China,3/10/20,80887,3139,60181
China,3/11/20,80921,3161,61644
China,3/12/20,80932,3172,62901
China,3/13/20,80945,3180,64196
China,3/14/20,80977,3193,65660
China,3/15/20,81003,3203,67017
China,3/16/20,81033,3217,67910
China,3/17/20,81058,3230,68798
China,3/18/20,81102,3241,69755
China,3/19/20,81156,3249,70535
China,3/20/20,81250,3253,71266
