country,date,confirmed,deaths,recovered
Croatia,1/22/20,0,0,0
Croatia,1/23/20,0,0,0
Croatia,1/24/20,0,0,0
Croatia,1/25/20,0,0,0
Croatia,1/26/20,0,0,0
Croatia,1/27/20,0,0,0
Croatia,1/28/20,0,0,0
Croatia,1/29/20,0,0,0
Croatia,1/30/20,0,0,0
Croatia,1/31/20,0,0,0
Croatia,2/1/20,0,0,0
Croatia,2/2/20,0,0,0
Croatia,2/3/20,0,0,0
Croatia,2/4/20,0,0,0
Croatia,2/5/20,0,0,0
Croatia,2/6/20,0,0,0
Croatia,2/7/20,0,0,0
Croatia,2/8/20,0,0,0
Croatia,2/9/20,0,0,0
Croatia,2/10/20,0,0,0
Croatia,2/11/20,0,0,0
Croatia,2/12/20,0,0,0
Croatia,2/13/20,0,0,0
Croatia,2/14/20,0,0,0
Croatia,2/15/20,0,0,0
Croatia,2/16/20,0,0,0
Croatia,2/17/20,0,0,0
Croatia,2/18/20,0,0,0
Croatia,2/19/20,0,0,0
Croatia,2/20/20,0,0,0
Croatia,2/21/20,0,0,0
Croatia,2/22/20,0,0,0
Croatia,2/23/20,0,0,0
Croatia,2/24/20,0,0,0
Croatia,2/25/20,1,0,0
Croatia,2/26/20,3,0,0
Croatia,2/27/20,3,0,0
Croatia,2/28/20,5,0,0
Croatia,2/29/20,6,0,0
Croatia,3/1/20,7,0,0
Croatia,3/2/20,7,0,0
Croatia,3/3/20,9,0,0
Croatia,3/4/20,10,0,0
Croatia,3/5/20,10,0,0
Croatia,3/6/20,11,0,0
Croatia,3/7/20,12,0,0
Croatia,3/8/20,12,0,0
Croatia,3/9/20,12,0,0
Croatia,3/10/20,14,0,0
Croatia,3/11/20,19,0,0
Croatia,3/12/20,19,0,0
Croatia,3/13/20,32,0,1
Croatia,3/14/20,38,0,1
Croatia,3/15/20,49,0,1
Croatia,3/16/20,57,0,2
Croatia,3/17/20,65,0,4
Croatia,3/18/20,81,0,4
Croatia,3/19/20,105,1,5
Croatia,3/20/20,128,1,5
