country,date,confirmed,deaths,recovered
Cruise Ship,1/22/20,0,0,0
Cruise Ship,1/23/20,0,0,0
Cruise Ship,1/24/20,0,0,0
Cruise Ship,1/25/20,0,0,0
Cruise Ship,1/26/20,0,0,0
Cruise Ship,1/27/20,0,0,0
Cruise Ship,1/28/20,0,0,0
Cruise Ship,1/29/20,0,0,0
Cruise Ship,1/30/20,0,0,0
Cruise Ship,1/31/20,0,0,0
Cruise Ship,2/1/20,0,0,0
Cruise Ship,2/2/20,0,0,0
Cruise Ship,2/3/20,0,0,0
Cruise Ship,2/4/20,0,0,0
Cruise Ship,2/5/20,0,0,0
Cruise Ship,2/6/20,0,0,0
Cruise Ship,2/7/20,61,0,0
Cruise Ship,2/8/20,61,0,0
Cruise Ship,2/9/20,64,0,0
Cruise Ship,2/10/20,135,0,0
Cruise Ship,2/11/20,135,0,0
Cruise Ship,2/12/20,175,0,0
Cruise Ship,2/13/20,175,0,0
Cruise Ship,2/14/20,218,0,0
Cruise Ship,2/15/20,285,0,0
Cruise Ship,2/16/20,355,0,0
Cruise Ship,2/17/20,454,0,0
Cruise Ship,2/18/20,542,0,0
Cruise Ship,2/19/20,621,0,1
Cruise Ship,2/20/20,634,2,1
Cruise Ship,2/21/20,634,2,1
Cruise Ship,2/22/20,634,2,1
Cruise Ship,2/23/20,691,3,0
Cruise Ship,2/24/20,691,3,0
Cruise Ship,2/25/20,691,3,0
Cruise Ship,2/26/20,705,4,10
Cruise Ship,2/27/20,705,4,10
Cruise Ship,2/28/20,705,6,10
Cruise Ship,2/29/20,705,6,10
Cruise Ship,3/1/20,705,6,10
Cruise Ship,3/2/20,705,6,10
Cruise Ship,3/3/20,706,6,10
Cruise Ship,3/4/20,706,6,10
Cruise Ship,3/5/20,706,6,10
Cruise Ship,3/6/20,696,6,40
Cruise Ship,3/7/20,696,6,40
Cruise Ship,3/8/20,696,6,40
Cruise Ship,3/9/20,696,6,40
Cruise Ship,3/10/20,696,6,40
Cruise Ship,3/11/20,696,7,325
Cruise Ship,3/12/20,696,7,325
Cruise Ship,3/13/20,696,7,325
Cruise Ship,3/14/20,696,7,325
Cruise Ship,3/15/20,696,7,325
Cruise Ship,3/16/20,696,7,325
Cruise Ship,3/17/20,696,7,325
Cruise Ship,3/18/20,712,7,325
Cruise Ship,3/19/20,712,7,325
Cruise Ship,3/20/20,712,7,325
