country,date,confirmed,deaths,recovered
Estonia,1/22/20,0,0,0
Estonia,1/23/20,0,0,0
Estonia,1/24/20,0,0,0
Estonia,1/25/20,0,0,0
Estonia,1/26/20,0,0,0
Estonia,1/27/20,0,0,0
Estonia,1/28/20,0,0,0
Estonia,1/29/20,0,0,0
Estonia,1/30/20,0,0,0
Estonia,1/31/20,0,0,0
Estonia,2/1/20,0,0,0
Estonia,2/2/20,0,0,0
Estonia,2/3/20,0,0,0
Estonia,2/4/20,0,0,0
Estonia,2/5/20,0,0,0
Estonia,2/6/20,0,0,0
Estonia,2/7/20,0,0,0
Estonia,2/8/20,0,0,0
Estonia,2/9/20,0,0,0
Estonia,2/10/20,0,0,0
Estonia,2/11/20,0,0,0
Estonia,2/12/20,0,0,0
Estonia,2/13/20,0,0,0
Estonia,2/14/20,0,0,0
Estonia,2/15/20,0,0,0
Estonia,2/16/20,0,0,0
Estonia,2/17/20,0,0,0
Estonia,2/18/20,0,0,0
Estonia,2/19/20,0,0,0
Estonia,2/20/20,0,0,0
Estonia,2/21/20,0,0,0
Estonia,2/22/20,0,0,0
Estonia,2/23/20,0,0,0
Estonia,2/24/20,0,0,0
Estonia,2/25/20,0,0,0
Estonia,2/26/20,0,0,0
Estonia,2/27/20,1,0,0
Estonia,2/28/20,1,0,0
Estonia,2/29/20,1,0,0
Estonia,3/1/20,1,0,0
Estonia,3/2/20,1,0,0
Estonia,3/3/20,2,0,0
Estonia,3/4/20,2,0,0
Estonia,3/5/20,3,0,0
Estonia,3/6/20,10,0,0
Estonia,3/7/20,10,0,0
Estonia,3/8/20,10,0,0
Estonia,3/9/20,10,0,0
Estonia,3/10/20,12,0,0
Estonia,3/11/20,16,0,0
Estonia,3/12/20,16,0,0
Estonia,3/13/20,79,0,0
Estonia,3/14/20,115,0,0
Estonia,3/15/20,171,0,1
Estonia,3/16/20,205,0,1
Estonia,3/17/20,225,0,1
Estonia,3/18/20,258,0,1
Estonia,3/19/20,267,0,1
Estonia,3/20/20,283,0,1
