country,date,confirmed,deaths,recovered
Finland,1/22/20,0,0,0
Finland,1/23/20,0,0,0
Finland,1/24/20,0,0,0
Finland,1/25/20,0,0,0
Finland,1/26/20,0,0,0
Finland,1/27/20,0,0,0
Finland,1/28/20,0,0,0
Finland,1/29/20,1,0,0
Finland,1/30/20,1,0,0
Finland,1/31/20,1,0,0
Finland,2/1/20,1,0,0
Finland,2/2/20,1,0,0
Finland,2/3/20,1,0,0
Finland,2/4/20,1,0,0
Finland,2/5/20,1,0,0
Finland,2/6/20,1,0,0
Finland,2/7/20,1,0,0
Finland,2/8/20,1,0,0
Finland,2/9/20,1,0,0
Finland,2/10/20,1,0,0
Finland,2/11/20,1,0,0
Finland,2/12/20,1,0,1
Finland,2/13/20,1,0,1
Finland,2/14/20,1,0,1
Finland,2/15/20,1,0,1
Finland,2/16/20,1,0,1
Finland,2/17/20,1,0,1
Finland,2/18/20,1,0,1
Finland,2/19/20,1,0,1
Finland,2/20/20,1,0,1
Finland,2/21/20,1,0,1
Finland,2/22/20,1,0,1
Finland,2/23/20,1,0,1
Finland,2/24/20,1,0,1
Finland,2/25/20,1,0,1
Finland,2/26/20,2,0,1
Finland,2/27/20,2,0,1
Finland,2/28/20,2,0,1
Finland,2/29/20,3,0,1
Finland,3/1/20,6,0,1
Finland,3/2/20,6,0,1
Finland,3/3/20,6,0,1
Finland,3/4/20,6,0,1
Finland,3/5/20,12,0,1
Finland,3/6/20,15,0,1
Finland,3/7/20,15,0,1
Finland,3/8/20,23,0,1
Finland,3/9/20,30,0,1
Finland,3/10/20,40,0,1
Finland,3/11/20,59,0,1
Finland,3/12/20,59,0,1
Finland,3/13/20,155,0,1
Finland,3/14/20,225,0,1
Finland,3/15/20,244,0,10
Finland,3/16/20,277,0,10
Finland,3/17/20,321,0,10
Finland,3/18/20,336,0,10
Finland,3/19/20,400,0,10
Finland,3/20/20,450,0,10
