country,date,confirmed,deaths,recovered
Germany,1/22/20,0,0,0
Germany,1/23/20,0,0,0
Germany,1/24/20,0,0,0
Germany,1/25/20,0,0,0
Germany,1/26/20,0,0,0
Germany,1/27/20,1,0,0
Germany,1/28/20,4,0,0
Germany,1/29/20,4,0,0
Germany,1/30/20,4,0,0
Germany,1/31/20,5,0,0
Germany,2/1/20,8,0,0
Germany,2/2/20,10,0,0
Germany,2/3/20,12,0,0
Germany,2/4/20,12,0,0
Germany,2/5/20,12,0,0
Germany,2/6/20,12,0,0
Germany,2/7/20,13,0,0
Germany,2/8/20,13,0,0
Germany,2/9/20,14,0,0
Germany,2/10/20,14,0,0
Germany,2/11/20,16,0,0
Germany,2/12/20,16,0,0
Germany,2/13/20,16,0,1
Germany,2/14/20,16,0,1
Germany,2/15/20,16,0,1
Germany,2/16/20,16,0,1
Germany,2/17/20,16,0,1
Germany,2/18/20,16,0,12
Germany,2/19/20,16,0,12
Germany,2/20/20,16,0,12
Germany,2/21/20,16,0,14
Germany,2/22/20,16,0,14
Germany,2/23/20,16,0,14
Germany,2/24/20,16,0,14
Germany,2/25/20,17,0,14
Germany,2/26/20,27,0,15
Germany,2/27/20,46,0,16
Germany,2/28/20,48,0,16
Germany,2/29/20,79,0,16
Germany,3/1/20,130,0,16
Germany,3/2/20,159,0,16
Germany,3/3/20,196,0,16
Germany,3/4/20,262,0,16
Germany,3/5/20,482,0,16
Germany,3/6/20,670,0,17
Germany,3/7/20,799,0,18
Germany,3/8/20,1040,0,18
Germany,3/9/20,1176,2,18
Germany,3/10/20,1457,2,18
Germany,3/11/20,1908,3,25
Germany,3/12/20,2078,3,25
Germany,3/13/20,3675,7,46
Germany,3/14/20,4585,9,46
Germany,3/15/20,5795,11,46
Germany,3/16/20,7272,17,67
Germany,3/17/20,9257,24,67
Germany,3/18/20,12327,28,105
Germany,3/19/20,15320,44,113
Germany,3/20/20,19848,67,180
