country,date,confirmed,deaths,recovered
Iceland,1/22/20,0,0,0
Iceland,1/23/20,0,0,0
Iceland,1/24/20,0,0,0
Iceland,1/25/20,0,0,0
Iceland,1/26/20,0,0,0
Iceland,1/27/20,0,0,0
Iceland,1/28/20,0,0,0
Iceland,1/29/20,0,0,0
Iceland,1/30/20,0,0,0
Iceland,1/31/20,0,0,0
Iceland,2/1/20,0,0,0
Iceland,2/2/20,0,0,0
Iceland,2/3/20,0,0,0
Iceland,2/4/20,0,0,0
Iceland,2/5/20,0,0,0
Iceland,2/6/20,0,0,0
Iceland,2/7/20,0,0,0
Iceland,2/8/20,0,0,0
Iceland,2/9/20,0,0,0
Iceland,2/10/20,0,0,0
Iceland,2/11/20,0,0,0
Iceland,2/12/20,0,0,0
Iceland,2/13/20,0,0,0
Iceland,2/14/20,0,0,0
Iceland,2/15/20,0,0,0
Iceland,2/16/20,0,0,0
Iceland,2/17/20,0,0,0
Iceland,2/18/20,0,0,0
Iceland,2/19/20,0,0,0
Iceland,2/20/20,0,0,0
Iceland,2/21/20,0,0,0
Iceland,2/22/20,0,0,0
Iceland,2/23/20,0,0,0
Iceland,2/24/20,0,0,0
Iceland,2/25/20,0,0,0
Iceland,2/26/20,0,0,0
Iceland,2/27/20,0,0,0
Iceland,2/28/20,1,0,0
Iceland,2/29/20,1,0,0
Iceland,3/1/20,3,0,0
Iceland,3/2/20,6,0,0
Iceland,3/3/20,11,0,0
Iceland,3/4/20,26,0,0
Iceland,3/5/20,34,0,0
Iceland,3/6/20,43,0,0
Iceland,3/7/20,50,0,0
Iceland,3/8/20,50,0,0
Iceland,3/9/20,58,0,0
Iceland,3/10/20,69,0,1
Iceland,3/11/20,85,0,1
Iceland,3/12/20,103,0,1
Iceland,3/13/20,134,0,1
Iceland,3/14/20,156,0,1
Iceland,3/15/20,171,5,8
Iceland,3/16/20,180,0,0
Iceland,3/17/20,220,1,0
Iceland,3/18/20,250,1,5
Iceland,3/19/20,330,1,5
Iceland,3/20/20,409,0,5
