country,date,confirmed,deaths,recovered
Iran,1/22/20,0,0,0
Iran,1/23/20,0,0,0
Iran,1/24/20,0,0,0
Iran,1/25/20,0,0,0
Iran,1/26/20,0,0,0
Iran,1/27/20,0,0,0
Iran,1/28/20,0,0,0
Iran,1/29/20,0,0,0
Iran,1/30/20,0,0,0
Iran,1/31/20,0,0,0
Iran,2/1/20,0,0,0
Iran,2/2/20,0,0,0
Iran,2/3/20,0,0,0
Iran,2/4/20,0,0,0
Iran,2/5/20,0,0,0
Iran,2/6/20,0,0,0
Iran,2/7/20,0,0,0
Iran,2/8/20,0,0,0
Iran,2/9/20,0,0,0
Iran,2/10/20,0,0,0
Iran,2/11/20,0,0,0
Iran,2/12/20,0,0,0
Iran,2/13/20,0,0,0
Iran,2/14/20,0,0,0
Iran,2/15/20,0,0,0
Iran,2/16/20,0,0,0
Iran,2/17/20,0,0,0
Iran,2/18/20,0,0,0
Iran,2/19/20,2,2,0
Iran,2/20/20,5,2,0
Iran,2/21/20,18,4,0
Iran,2/22/20,28,5,0
Iran,2/23/20,43,8,0
Iran,2/24/20,61,12,0
Iran,2/25/20,95,16,0
Iran,2/26/20,139,19,49
Iran,2/27/20,245,26,49
Iran,2/28/20,388,34,73
Iran,2/29/20,593,43,123
Iran,3/1/20,978,54,175
Iran,3/2/20,1501,66,291
Iran,3/3/20,2336,77,291
Iran,3/4/20,2922,92,552
Iran,3/5/20,3513,107,739
Iran,3/6/20,4747,124,913
Iran,3/7/20,5823,145,1669
Iran,3/8/20,6566,194,2134
Iran,3/9/20,7161,237,2394
Iran,3/10/20,8042,291,2731
Iran,3/11/20,9000,354,2959
Iran,3/12/20,10075,429,2959
Iran,3/13/20,11364,514,2959
Iran,3/14/20,12729,611,2959
Iran,3/15/20,13938,724,4590
Iran,3/16/20,14991,853,4590
Iran,3/17/20,16169,988,5389
Iran,3/18/20,17361,1135,5389
Iran,3/19/20,18407,1284,5710
Iran,3/20/20,19644,1433,6745
