country,date,confirmed,deaths,recovered
Malaysia,1/22/20,0,0,0
Malaysia,1/23/20,0,0,0
Malaysia,1/24/20,0,0,0
Malaysia,1/25/20,3,0,0
Malaysia,1/26/20,4,0,0
Malaysia,1/27/20,4,0,0
Malaysia,1/28/20,4,0,0
Malaysia,1/29/20,7,0,0
Malaysia,1/30/20,8,0,0
Malaysia,1/31/20,8,0,0
Malaysia,2/1/20,8,0,0
Malaysia,2/2/20,8,0,0
Malaysia,2/3/20,8,0,0
Malaysia,2/4/20,10,0,0
Malaysia,2/5/20,12,0,0
Malaysia,2/6/20,12,0,0
Malaysia,2/7/20,12,0,1
Malaysia,2/8/20,16,0,1
Malaysia,2/9/20,16,0,1
Malaysia,2/10/20,18,0,1
Malaysia,2/11/20,18,0,3
Malaysia,2/12/20,18,0,3
Malaysia,2/13/20,19,0,3
Malaysia,2/14/20,19,0,3
Malaysia,2/15/20,22,0,7
Malaysia,2/16/20,22,0,7
Malaysia,2/17/20,22,0,7
Malaysia,2/18/20,22,0,13
Malaysia,2/19/20,22,0,15
Malaysia,2/20/20,22,0,15
Malaysia,2/21/20,22,0,15
Malaysia,2/22/20,22,0,15
Malaysia,2/23/20,22,0,15
Malaysia,2/24/20,22,0,18
Malaysia,2/25/20,22,0,18
Malaysia,2/26/20,22,0,18
Malaysia,2/27/20,23,0,18
Malaysia,2/28/20,23,0,18
Malaysia,2/29/20,25,0,18
Malaysia,3/1/20,29,0,18
Malaysia,3/2/20,29,0,18
Malaysia,3/3/20,36,0,22
Malaysia,3/4/20,50,0,22
Malaysia,3/5/20,50,0,22
Malaysia,3/6/20,83,0,22
Malaysia,3/7/20,93,0,23
Malaysia,3/8/20,99,0,24
Malaysia,3/9/20,117,0,24
Malaysia,3/10/20,129,0,24
Malaysia,3/11/20,149,0,26
Malaysia,3/12/20,149,0,26
Malaysia,3/13/20,197,0,26
Malaysia,3/14/20,238,0,35
Malaysia,3/15/20,428,0,42
Malaysia,3/16/20,566,0,42
Malaysia,3/17/20,673,2,49
Malaysia,3/18/20,790,2,60
Malaysia,3/19/20,900,2,75
Malaysia,3/20/20,1030,3,87
