country,date,confirmed,deaths,recovered
Maldives,1/22/20,0,0,0
Maldives,1/23/20,0,0,0
Maldives,1/24/20,0,0,0
Maldives,1/25/20,0,0,0
Maldives,1/26/20,0,0,0
Maldives,1/27/20,0,0,0
Maldives,1/28/20,0,0,0
Maldives,1/29/20,0,0,0
Maldives,1/30/20,0,0,0
Maldives,1/31/20,0,0,0
Maldives,2/1/20,0,0,0
Maldives,2/2/20,0,0,0
Maldives,2/3/20,0,0,0
Maldives,2/4/20,0,0,0
Maldives,2/5/20,0,0,0
Maldives,2/6/20,0,0,0
Maldives,2/7/20,0,0,0
Maldives,2/8/20,0,0,0
Maldives,2/9/20,0,0,0
Maldives,2/10/20,0,0,0
Maldives,2/11/20,0,0,0
Maldives,2/12/20,0,0,0
Maldives,2/13/20,0,0,0
Maldives,2/14/20,0,0,0
Maldives,2/15/20,0,0,0
Maldives,2/16/20,0,0,0
Maldives,2/17/20,0,0,0
Maldives,2/18/20,0,0,0
Maldives,2/19/20,0,0,0
Maldives,2/20/20,0,0,0
Maldives,2/21/20,0,0,0
Maldives,2/22/20,0,0,0
Maldives,2/23/20,0,0,0
Maldives,2/24/20,0,0,0
Maldives,2/25/20,0,0,0
Maldives,2/26/20,0,0,0
Maldives,2/27/20,0,0,0
Maldives,2/28/20,0,0,0
Maldives,2/29/20,0,0,0
Maldives,3/1/20,0,0,0
Maldives,3/2/20,0,0,0
Maldives,3/3/20,0,0,0
Maldives,3/4/20,0,0,0
Maldives,3/5/20,0,0,0
Maldives,3/6/20,0,0,0
Maldives,3/7/20,0,0,0
Maldives,3/8/20,4,0,0
Maldives,3/9/20,4,0,0
Maldives,3/10/20,6,0,0
Maldives,3/11/20,8,0,0
Maldives,3/12/20,8,0,0
Maldives,3/13/20,9,0,0
Maldives,3/14/20,10,0,0
Maldives,3/15/20,13,0,0
Maldives,3/16/20,13,0,0
Maldives,3/17/20,13,0,0
Maldives,3/18/20,13,0,0
Maldives,3/19/20,13,0,0
Maldives,3/20/20,13,0,0
