country,date,confirmed,deaths,recovered
Mexico,1/22/20,0,0,0
Mexico,1/23/20,0,0,0
Mexico,1/24/20,0,0,0
Mexico,1/25/20,0,0,0
Mexico,1/26/20,0,0,0
Mexico,1/27/20,0,0,0
Mexico,1/28/20,0,0,0
Mexico,1/29/20,0,0,0
Mexico,1/30/20,0,0,0
Mexico,1/31/20,0,0,0
Mexico,2/1/20,0,0,0
Mexico,2/2/20,0,0,0
Mexico,2/3/20,0,0,0
Mexico,2/4/20,0,0,0
Mexico,2/5/20,0,0,0
Mexico,2/6/20,0,0,0
Mexico,2/7/20,0,0,0
Mexico,2/8/20,0,0,0
Mexico,2/9/20,0,0,0
Mexico,2/10/20,0,0,0
Mexico,2/11/20,0,0,0
Mexico,2/12/20,0,0,0
Mexico,2/13/20,0,0,0
Mexico,2/14/20,0,0,0
Mexico,2/15/20,0,0,0
Mexico,2/16/20,0,0,0
Mexico,2/17/20,0,0,0
Mexico,2/18/20,0,0,0
Mexico,2/19/20,0,0,0
Mexico,2/20/20,0,0,0
Mexico,2/21/20,0,0,0
Mexico,2/22/20,0,0,0
Mexico,2/23/20,0,0,0
Mexico,2/24/20,0,0,0
Mexico,2/25/20,0,0,0
Mexico,2/26/20,0,0,0
Mexico,2/27/20,0,0,0
Mexico,2/28/20,1,0,0
Mexico,2/29/20,4,0,0
Mexico,3/1/20,5,0,0
Mexico,3/2/20,5,0,0
Mexico,3/3/20,5,0,1
Mexico,3/4/20,5,0,1
Mexico,3/5/20,5,0,1
Mexico,3/6/20,6,0,1
Mexico,3/7/20,6,0,1
Mexico,3/8/20,7,0,1
Mexico,3/9/20,7,0,1
Mexico,3/10/20,7,0,4
Mexico,3/11/20,8,0,4
Mexico,3/12/20,12,0,4
Mexico,3/13/20,12,0,4
Mexico,3/14/20,26,0,4
Mexico,3/15/20,41,0,4
Mexico,3/16/20,53,0,4
Mexico,3/17/20,82,0,4
Mexico,3/18/20,93,0,4
Mexico,3/19/20,118,1,4
Mexico,3/20/20,164,1,4
