country,date,confirmed,deaths,recovered
Poland,1/22/20,0,0,0
Poland,1/23/20,0,0,0
Poland,1/24/20,0,0,0
Poland,1/25/20,0,0,0
Poland,1/26/20,0,0,0
Poland,1/27/20,0,0,0
Poland,1/28/20,0,0,0
Poland,1/29/20,0,0,0
Poland,1/30/20,0,0,0
Poland,1/31/20,0,0,0
Poland,2/1/20,0,0,0
Poland,2/2/20,0,0,0
Poland,2/3/20,0,0,0
Poland,2/4/20,0,0,0
Poland,2/5/20,0,0,0
Poland,2/6/20,0,0,0
Poland,2/7/20,0,0,0
Poland,2/8/20,0,0,0
Poland,2/9/20,0,0,0
Poland,2/10/20,0,0,0
Poland,2/11/20,0,0,0
Poland,2/12/20,0,0,0
Poland,2/13/20,0,0,0
Poland,2/14/20,0,0,0
Poland,2/15/20,0,0,0
Poland,2/16/20,0,0,0
Poland,2/17/20,0,0,0
Poland,2/18/20,0,0,0
Poland,2/19/20,0,0,0
Poland,2/20/20,0,0,0
Poland,2/21/20,0,0,0
Poland,2/22/20,0,0,0
Poland,2/23/20,0,0,0
Poland,2/24/20,0,0,0
Poland,2/25/20,0,0,0
Poland,2/26/20,0,0,0
Poland,2/27/20,0,0,0
Poland,2/28/20,0,0,0
Poland,2/29/20,0,0,0
Poland,3/1/20,0,0,0
Poland,3/2/20,0,0,0
Poland,3/3/20,0,0,0
Poland,3/4/20,1,0,0
Poland,3/5/20,1,0,0
Poland,3/6/20,5,0,0
Poland,3/7/20,5,0,0
Poland,3/8/20,11,0,0
Poland,3/9/20,16,0,0
Poland,3/10/20,22,0,0
Poland,3/11/20,31,0,0
Poland,3/12/20,49,1,0
Poland,3/13/20,68,2,0
Poland,3/14/20,103,3,0
Poland,3/15/20,119,3,0
Poland,3/16/20,177,4,13
Poland,3/17/20,238,5,13
Poland,3/18/20,251,5,13
Poland,3/19/20,355,5,1
Poland,3/20/20,425,5,1
