country,date,confirmed,deaths,recovered
Romania,1/22/20,0,0,0
Romania,1/23/20,0,0,0
Romania,1/24/20,0,0,0
Romania,1/25/20,0,0,0
Romania,1/26/20,0,0,0
Romania,1/27/20,0,0,0
Romania,1/28/20,0,0,0
Romania,1/29/20,0,0,0
Romania,1/30/20,0,0,0
Romania,1/31/20,0,0,0
Romania,2/1/20,0,0,0
Romania,2/2/20,0,0,0
Romania,2/3/20,0,0,0
Romania,2/4/20,0,0,0
Romania,2/5/20,0,0,0
Romania,2/6/20,0,0,0
Romania,2/7/20,0,0,0
Romania,2/8/20,0,0,0
Romania,2/9/20,0,0,0
Romania,2/10/20,0,0,0
Romania,2/11/20,0,0,0
Romania,2/12/20,0,0,0
Romania,2/13/20,0,0,0
Romania,2/14/20,0,0,0
Romania,2/15/20,0,0,0
Romania,2/16/20,0,0,0
Romania,2/17/20,0,0,0
Romania,2/18/20,0,0,0
Romania,2/19/20,0,0,0
Romania,2/20/20,0,0,0
Romania,2/21/20,0,0,0
Romania,2/22/20,0,0,0
Romania,2/23/20,0,0,0
Romania,2/24/20,0,0,0
Romania,2/25/20,0,0,0
Romania,2/26/20,1,0,0
Romania,2/27/20,1,0,0
Romania,2/28/20,3,0,0
Romania,2/29/20,3,0,0
Romania,3/1/20,3,0,0
Romania,3/2/20,3,0,0
Romania,3/3/20,3,0,0
Romania,3/4/20,4,0,1
Romania,3/5/20,6,0,1
Romania,3/6/20,9,0,1
Romania,3/7/20,9,0,3
Romania,3/8/20,15,0,3
Romania,3/9/20,15,0,3
Romania,3/10/20,25,0,3
Romania,3/11/20,45,0,6
Romania,3/12/20,49,0,6
Romania,3/13/20,89,0,7
Romania,3/14/20,123,0,9
Romania,3/15/20,131,0,9
Romania,3/16/20,158,0,9
Romania,3/17/20,184,0,16
Romania,3/18/20,260,0,19
Romania,3/19/20,277,0,25
Romania,3/20/20,308,0,25
