country,date,confirmed,deaths,recovered
Saint Lucia,1/22/20,0,0,0
Saint Lucia,1/23/20,0,0,0
Saint Lucia,1/24/20,0,0,0
Saint Lucia,1/25/20,0,0,0
Saint Lucia,1/26/20,0,0,0
Saint Lucia,1/27/20,0,0,0
Saint Lucia,1/28/20,0,0,0
Saint Lucia,1/29/20,0,0,0
Saint Lucia,1/30/20,0,0,0
Saint Lucia,1/31/20,0,0,0
Saint Lucia,2/1/20,0,0,0
Saint Lucia,2/2/20,0,0,0
Saint Lucia,2/3/20,0,0,0
Saint Lucia,2/4/20,0,0,0
Saint Lucia,2/5/20,0,0,0
Saint Lucia,2/6/20,0,0,0
Saint Lucia,2/7/20,0,0,0
Saint Lucia,2/8/20,0,0,0
Saint Lucia,2/9/20,0,0,0
Saint Lucia,2/10/20,0,0,0
Saint Lucia,2/11/20,0,0,0
Saint Lucia,2/12/20,0,0,0
Saint Lucia,2/13/20,0,0,0
Saint Lucia,2/14/20,0,0,0
Saint Lucia,2/15/20,0,0,0
Saint Lucia,2/16/20,0,0,0
Saint Lucia,2/17/20,0,0,0
Saint Lucia,2/18/20,0,0,0
Saint Lucia,2/19/20,0,0,0
Saint Lucia,2/20/20,0,0,0
Saint Lucia,2/21/20,0,0,0
Saint Lucia,2/22/20,0,0,0
Saint Lucia,2/23/20,0,0,0
Saint Lucia,2/24/20,0,0,0
Saint Lucia,2/25/20,0,0,0
Saint Lucia,2/26/20,0,0,0
Saint Lucia,2/27/20,0,0,0
Saint Lucia,2/28/20,0,0,0
Saint Lucia,2/29/20,0,0,0
Saint Lucia,3/1/20,0,0,0
Saint Lucia,3/2/20,0,0,0
Saint Lucia,3/3/20,0,0,0
Saint Lucia,3/4/20,0,0,0
Saint Lucia,3/5/20,0,0,0
Saint Lucia,3/6/20,0,0,0
Saint Lucia,3/7/20,0,0,0
Saint Lucia,3/8/20,0,0,0
Saint Lucia,3/9/20,0,0,0
Saint Lucia,3/10/20,0,0,0
Saint Lucia,3/11/20,0,0,0
Saint Lucia,3/12/20,0,0,0
Saint Lucia,3/13/20,0,0,0
Saint Lucia,3/14/20,1,0,0
Saint Lucia,3/15/20,2,0,0
Saint Lucia,3/16/20,2,0,0
Saint Lucia,3/17/20,2,0,0
Saint Lucia,3/18/20,2,0,0
Saint Lucia,3/19/20,2,0,0
Saint Lucia,3/20/20,2,0,0
