country,date,confirmed,deaths,recovered
Saint Vincent and the Grenadines,1/22/20,0,0,0
Saint Vincent and the Grenadines,1/23/20,0,0,0
Saint Vincent and the Grenadines,1/24/20,0,0,0
Saint Vincent and the Grenadines,1/25/20,0,0,0
Saint Vincent and the Grenadines,1/26/20,0,0,0
Saint Vincent and the Grenadines,1/27/20,0,0,0
Saint Vincent and the Grenadines,1/28/20,0,0,0
Saint Vincent and the Grenadines,1/29/20,0,0,0
Saint Vincent and the Grenadines,1/30/20,0,0,0
Saint Vincent and the Grenadines,1/31/20,0,0,0
Saint Vincent and the Grenadines,2/1/20,0,0,0
Saint Vincent and the Grenadines,2/2/20,0,0,0
Saint Vincent and the Grenadines,2/3/20,0,0,0
Saint Vincent and the Grenadines,2/4/20,0,0,0
Saint Vincent and the Grenadines,2/5/20,0,0,0
Saint Vincent and the Grenadines,2/6/20,0,0,0
Saint Vincent and the Grenadines,2/7/20,0,0,0
Saint Vincent and the Grenadines,2/8/20,0,0,0
Saint Vincent and the Grenadines,2/9/20,0,0,0
Saint Vincent and the Grenadines,2/10/20,0,0,0
Saint Vincent and the Grenadines,2/11/20,0,0,0
Saint Vincent and the Grenadines,2/12/20,0,0,0
Saint Vincent and the Grenadines,2/13/20,0,0,0
Saint Vincent and the Grenadines,2/14/20,0,0,0
Saint Vincent and the Grenadines,2/15/20,0,0,0
Saint Vincent and the Grenadines,2/16/20,0,0,0
Saint Vincent and the Grenadines,2/17/20,0,0,0
Saint Vincent and the Grenadines,2/18/20,0,0,0
Saint Vincent and the Grenadines,2/19/20,0,0,0
Saint Vincent and the Grenadines,2/20/20,0,0,0
Saint Vincent and the Grenadines,2/21/20,0,0,0
Saint Vincent and the Grenadines,2/22/20,0,0,0
Saint Vincent and the Grenadines,2/23/20,0,0,0
Saint Vincent and the Grenadines,2/24/20,0,0,0
Saint Vincent and the Grenadines,2/25/20,0,0,0
Saint Vincent and the Grenadines,2/26/20,0,0,0
Saint Vincent and the Grenadines,2/27/20,0,0,0
Saint Vincent and the Grenadines,2/28/20,0,0,0
Saint Vincent and the Grenadines,2/29/20,0,0,0
Saint Vincent and the Grenadines,3/1/20,0,0,0
Saint Vincent and the Grenadines,3/2/20,0,0,0
Saint Vincent and the Grenadines,3/3/20,0,0,0
Saint Vincent and the Grenadines,3/4/20,0,0,0
Saint Vincent and the Grenadines,3/5/20,0,0,0
Saint Vincent and the Grenadines,3/6/20,0,0,0
Saint Vincent and the Grenadines,3/7/20,0,0,0
Saint Vincent and the Grenadines,3/8/20,0,0,0
Saint Vincent and the Grenadines,3/9/20,0,0,0
Saint Vincent and the Grenadines,3/10/20,0,0,0
Saint Vincent and the Grenadines,3/11/20,0,0,0
Saint Vincent and the Grenadines,3/12/20,0,0,0
Saint Vincent and the Grenadines,3/13/20,0,0,0
Saint Vincent and the Grenadines,3/14/20,1,0,0
Saint Vincent and the Grenadines,3/15/20,1,0,0
Saint Vincent and the Grenadines,3/16/20,1,0,0
Saint Vincent and the Grenadines,3/17/20,1,0,0
Saint Vincent and the Grenadines,3/18/20,1,0,0
Saint Vincent and the Grenadines,3/19/20,1,0,0
Saint Vincent and the Grenadines,3/20/20,1,0,0
