country,date,confirmed,deaths,recovered
Sri Lanka,1/22/20,0,0,0
Sri Lanka,1/23/20,0,0,0
Sri Lanka,1/24/20,0,0,0
Sri Lanka,1/25/20,0,0,0
Sri Lanka,1/26/20,0,0,0
Sri Lanka,1/27/20,1,0,0
Sri Lanka,1/28/20,1,0,0
Sri Lanka,1/29/20,1,0,0
Sri Lanka,1/30/20,1,0,0
Sri Lanka,1/31/20,1,0,0
Sri Lanka,2/1/20,1,0,0
Sri Lanka,2/2/20,1,0,0
Sri Lanka,2/3/20,1,0,0
Sri Lanka,2/4/20,1,0,0
Sri Lanka,2/5/20,1,0,0
Sri Lanka,2/6/20,1,0,0
Sri Lanka,2/7/20,1,0,0
Sri Lanka,2/8/20,1,0,1
Sri Lanka,2/9/20,1,0,1
Sri Lanka,2/10/20,1,0,1
Sri Lanka,2/11/20,1,0,1
Sri Lanka,2/12/20,1,0,1
Sri Lanka,2/13/20,1,0,1
Sri Lanka,2/14/20,1,0,1
Sri Lanka,2/15/20,1,0,1
Sri Lanka,2/16/20,1,0,1
Sri Lanka,2/17/20,1,0,1
Sri Lanka,2/18/20,1,0,1
Sri Lanka,2/19/20,1,0,1
Sri Lanka,2/20/20,1,0,1
Sri Lanka,2/21/20,1,0,1
Sri Lanka,2/22/20,1,0,1
Sri Lanka,2/23/20,1,0,1
Sri Lanka,2/24/20,1,0,1
Sri Lanka,2/25/20,1,0,1
Sri Lanka,2/26/20,1,0,1
Sri Lanka,2/27/20,1,0,1
Sri Lanka,2/28/20,1,0,1
Sri Lanka,2/29/20,1,0,1
Sri Lanka,3/1/20,1,0,1
Sri Lanka,3/2/20,1,0,1
Sri Lanka,3/3/20,1,0,1
Sri Lanka,3/4/20,1,0,1
Sri Lanka,3/5/20,1,0,1
Sri Lanka,3/6/20,1,0,1
Sri Lanka,3/7/20,1,0,1
Sri Lanka,3/8/20,1,0,1
Sri Lanka,3/9/20,1,0,1
Sri Lanka,3/10/20,1,0,1
Sri Lanka,3/11/20,2,0,1
Sri Lanka,3/12/20,2,0,1
Sri Lanka,3/13/20,6,0,1
Sri Lanka,3/14/20,10,0,1
Sri Lanka,3/15/20,18,0,1
Sri Lanka,3/16/20,28,0,1
Sri Lanka,3/17/20,44,0,1
Sri Lanka,3/18/20,51,0,1
Sri Lanka,3/19/20,60,0,3
Sri Lanka,3/20/20,73,0,3
