country,date,confirmed,deaths,recovered
Switzerland,1/22/20,0,0,0
Switzerland,1/23/20,0,0,0
Switzerland,1/24/20,0,0,0
Switzerland,1/25/20,0,0,0
Switzerland,1/26/20,0,0,0
Switzerland,1/27/20,0,0,0
Switzerland,1/28/20,0,0,0
Switzerland,1/29/20,0,0,0
Switzerland,1/30/20,0,0,0
Switzerland,1/31/20,0,0,0
Switzerland,2/1/20,0,0,0
Switzerland,2/2/20,0,0,0
Switzerland,2/3/20,0,0,0
Switzerland,2/4/20,0,0,0
Switzerland,2/5/20,0,0,0
Switzerland,2/6/20,0,0,0
Switzerland,2/7/20,0,0,0
Switzerland,2/8/20,0,0,0
Switzerland,2/9/20,0,0,0
Switzerland,2/10/20,0,0,0
Switzerland,2/11/20,0,0,0
Switzerland,2/12/20,0,0,0
Switzerland,2/13/20,0,0,0
Switzerland,2/14/20,0,0,0
Switzerland,2/15/20,0,0,0
Switzerland,2/16/20,0,0,0
Switzerland,2/17/20,0,0,0
Switzerland,2/18/20,0,0,0
Switzerland,2/19/20,0,0,0
Switzerland,2/20/20,0,0,0
Switzerland,2/21/20,0,0,0
Switzerland,2/22/20,0,0,0
Switzerland,2/23/20,0,0,0
Switzerland,2/24/20,0,0,0
Switzerland,2/25/20,1,0,0
Switzerland,2/26/20,1,0,0
Switzerland,2/27/20,8,0,0
Switzerland,2/28/20,8,0,0
Switzerland,2/29/20,18,0,0
Switzerland,3/1/20,27,0,0
Switzerland,3/2/20,42,0,0
Switzerland,3/3/20,56,0,2
Switzerland,3/4/20,90,0,3
Switzerland,3/5/20,114,1,3
Switzerland,3/6/20,214,1,3
Switzerland,3/7/20,268,1,3
Switzerland,3/8/20,337,2,3
Switzerland,3/9/20,374,2,3
Switzerland,3/10/20,491,3,3
Switzerland,3/11/20,652,4,4
Switzerland,3/12/20,652,4,4
Switzerland,3/13/20,1139,11,4
Switzerland,3/14/20,1359,13,4
Switzerland,3/15/20,2200,14,4
Switzerland,3/16/20,2200,14,4
Switzerland,3/17/20,2700,27,4
Switzerland,3/18/20,3028,28,15
Switzerland,3/19/20,4075,41,15
Switzerland,3/20/20,5294,54,15
