country,date,confirmed,deaths,recovered
Trinidad and Tobago,1/22/20,0,0,0
Trinidad and Tobago,1/23/20,0,0,0
Trinidad and Tobago,1/24/20,0,0,0
Trinidad and Tobago,1/25/20,0,0,0
Trinidad and Tobago,1/26/20,0,0,0
Trinidad and Tobago,1/27/20,0,0,0
Trinidad and Tobago,1/28/20,0,0,0
Trinidad and Tobago,1/29/20,0,0,0
Trinidad and Tobago,1/30/20,0,0,0
Trinidad and Tobago,1/31/20,0,0,0
Trinidad and Tobago,2/1/20,0,0,0
Trinidad and Tobago,2/2/20,0,0,0
Trinidad and Tobago,2/3/20,0,0,0
Trinidad and Tobago,2/4/20,0,0,0
Trinidad and Tobago,2/5/20,0,0,0
Trinidad and Tobago,2/6/20,0,0,0
Trinidad and Tobago,2/7/20,0,0,0
Trinidad and Tobago,2/8/20,0,0,0
Trinidad and Tobago,2/9/20,0,0,0
Trinidad and Tobago,2/10/20,0,0,0
Trinidad and Tobago,2/11/20,0,0,0
Trinidad and Tobago,2/12/20,0,0,0
Trinidad and Tobago,2/13/20,0,0,0
Trinidad and Tobago,2/14/20,0,0,0
Trinidad and Tobago,2/15/20,0,0,0
Trinidad and Tobago,2/16/20,0,0,0
Trinidad and Tobago,2/17/20,0,0,0
Trinidad and Tobago,2/18/20,0,0,0
Trinidad and Tobago,2/19/20,0,0,0
Trinidad and Tobago,2/20/20,0,0,0
Trinidad and Tobago,2/21/20,0,0,0
Trinidad and Tobago,2/22/20,0,0,0
Trinidad and Tobago,2/23/20,0,0,0
Trinidad and Tobago,2/24/20,0,0,0
Trinidad and Tobago,2/25/20,0,0,0
Trinidad and Tobago,2/26/20,0,0,0
Trinidad and Tobago,2/27/20,0,0,0
Trinidad and Tobago,2/28/20,0,0,0
Trinidad and Tobago,2/29/20,0,0,0
Trinidad and Tobago,3/1/20,0,0,0
Trinidad and Tobago,3/2/20,0,0,0
Trinidad and Tobago,3/3/20,0,0,0
Trinidad and Tobago,3/4/20,0,0,0
Trinidad and Tobago,3/5/20,0,0,0
Trinidad and Tobago,3/6/20,0,0,0
Trinidad and Tobago,3/7/20,0,0,0
Trinidad and Tobago,3/8/20,0,0,0
Trinidad and Tobago,3/9/20,0,0,0
Trinidad and Tobago,3/10/20,0,0,0
Trinidad and Tobago,3/11/20,0,0,0
Trinidad and Tobago,3/12/20,0,0,0
Trinidad and Tobago,3/13/20,0,0,0
Trinidad and Tobago,3/14/20,2,0,0
Trinidad and Tobago,3/15/20,2,0,0
Trinidad and Tobago,3/16/20,4,0,0
Trinidad and Tobago,3/17/20,5,0,0
Trinidad and Tobago,3/18/20,7,0,0
Trinidad and Tobago,3/19/20,9,0,0
Trinidad and Tobago,3/20/20,9,0,0
