country,date,confirmed,deaths,recovered
Vietnam,1/22/20,0,0,0
Vietnam,1/23/20,2,0,0
Vietnam,1/24/20,2,0,0
Vietnam,1/25/20,2,0,0
Vietnam,1/26/20,2,0,0
Vietnam,1/27/20,2,0,0
Vietnam,1/28/20,2,0,0
Vietnam,1/29/20,2,0,0
Vietnam,1/30/20,2,0,0
Vietnam,1/31/20,2,0,0
Vietnam,2/1/20,6,0,1
Vietnam,2/2/20,6,0,1
Vietnam,2/3/20,8,0,1
Vietnam,2/4/20,8,0,1
Vietnam,2/5/20,8,0,1
Vietnam,2/6/20,10,0,1
Vietnam,2/7/20,10,0,1
Vietnam,2/8/20,13,0,1
Vietnam,2/9/20,13,0,1
Vietnam,2/10/20,14,0,1
Vietnam,2/11/20,15,0,6
Vietnam,2/12/20,15,0,6
Vietnam,2/13/20,16,0,7
Vietnam,2/14/20,16,0,7
Vietnam,2/15/20,16,0,7
Vietnam,2/16/20,16,0,7
Vietnam,2/17/20,16,0,7
Vietnam,2/18/20,16,0,7
Vietnam,2/19/20,16,0,7
Vietnam,2/20/20,16,0,7
Vietnam,2/21/20,16,0,14
Vietnam,2/22/20,16,0,14
Vietnam,2/23/20,16,0,14
Vietnam,2/24/20,16,0,14
Vietnam,2/25/20,16,0,16
Vietnam,2/26/20,16,0,16
Vietnam,2/27/20,16,0,16
Vietnam,2/28/20,16,0,16
Vietnam,2/29/20,16,0,16
Vietnam,3/1/20,16,0,16
Vietnam,3/2/20,16,0,16
Vietnam,3/3/20,16,0,16
Vietnam,3/4/20,16,0,16
Vietnam,3/5/20,16,0,16
Vietnam,3/6/20,16,0,16
Vietnam,3/7/20,18,0,16
Vietnam,3/8/20,30,0,16
Vietnam,3/9/20,30,0,16
Vietnam,3/10/20,31,0,16
Vietnam,3/11/20,38,0,16
Vietnam,3/12/20,39,0,16
Vietnam,3/13/20,47,0,16
Vietnam,3/14/20,53,0,16
Vietnam,3/15/20,56,0,16
Vietnam,3/16/20,61,0,16
Vietnam,3/17/20,66,0,16
Vietnam,3/18/20,75,0,16
Vietnam,3/19/20,85,0,16
Vietnam,3/20/20,91,0,16
